Feature,Importance,Type
ambiguity,0.19586970130438747,Behavior
reaction_time,0.09197399179048864,Behavior
decision_time,0.057239715559051545,Behavior
screen_y_mean,0.044765764973626714,Gaze
pupil_slope_pre,0.03679264205720139,Physiology
pupil_std_pre,0.03357228100594824,Physiology
gaze_y_mean,0.03109851420451123,Gaze
gaze_x_std,0.025871333326652212,Gaze
pct_time_dilating_pre,0.023541916858815196,Physiology
eye_asymmetry_pre,0.020248624867310046,Physiology
eye_asymmetry_std_pre,0.02009079516888264,Physiology
gaze_y_std,0.019588644183051153,Gaze
pupil_max_dilation_rate_pre,0.01938172248453406,Physiology
gaze_path_length,0.019305871458070917,Gaze
pupil_velocity_mean_pre,0.019242384929135572,Physiology
risk_premium,0.019199194482329412,Behavior
gaze_x_mean,0.01918617734002147,Gaze
gaze_dispersion_x,0.01895878834691503,Gaze
pupil_cv_pre,0.018637205388899573,Physiology
pupil_max_constriction_rate_pre,0.01857039308563172,Physiology
gaze_acceleration_mean,0.018350947346617463,Gaze
gaze_acceleration_std,0.018321579685489132,Gaze
gaze_dispersion_y,0.017817028550304596,Gaze
time_to_peak_pre,0.017642682002652014,Physiology
pupil_acceleration_std_pre,0.017470442607730022,Physiology
screen_x_mean,0.01717498279983837,Gaze
ev_difference,0.017061318046124624,Behavior
gaze_velocity_max,0.016964202558658922,Gaze
screen_x_std,0.01670063992217,Gaze
screen_y_std,0.01638827082059277,Gaze
invest_variance,0.015995592324910445,Behavior
pupil_mean_pre,0.015880970624976076,Physiology
gaze_velocity_std,0.015501276199114096,Gaze
gaze_velocity_mean,0.014465530835987278,Gaze
num_dilation_peaks_pre,0.005510550398433516,Physiology
condition_social,0.0021782752974010998,Behavior
fixation_ratio,0.0014246210002693133,Gaze
saccade_ratio,0.00134958416218426,Gaze
saccade_count,0.0006658420010818224,Gaze
gaze_valid_pct,0.0,Gaze
