window_id,window_name,time_start,time_end,duration,accuracy,accuracy_sem,accuracy_std,f1_score,f1_sem,physio_weight,behavior_weight,gaze_weight,n_subjects,n_trials,n_physio_features,n_behavior_features,n_gaze_features,invest_ratio
0,PRE Only,-2.0,0.0,2.0,0.7181115503511741,0.013741496644575078,0.1381003321260296,0.7063939069343355,0.01577250616719987,0.019521344180829958,0.5545058999936566,0.4259727558255135,102,12107,13,7,20,0.6533410423721814
1,Expanded[→0.2s],-2.0,0.2,2.2,0.7173927240475492,0.013688134545736213,0.137564049669817,0.7056608703262728,0.015739284473902715,0.01769436018495663,0.5553471575548179,0.4269584822602255,102,12107,13,7,20,0.6533410423721814
2,Expanded[→0.4s],-2.0,0.4,2.4,0.7188311802163553,0.01356336482182301,0.13631012946320775,0.7067303009976417,0.015677587873210486,0.014631921257793013,0.557402514632446,0.42796556410976094,102,12107,13,7,20,0.6533410423721814
3,Expanded[→0.6s],-2.0,0.6000000000000001,2.6,0.7196065715473614,0.013557616926908803,0.1362523638342367,0.7076602334647926,0.015691691100938127,0.014528704816399252,0.5571995261959342,0.42827176898766656,102,12107,13,7,20,0.6533410423721814
4,Expanded[→0.8s],-2.0,0.8,2.8,0.7195367593561923,0.013570650388787561,0.13638334850503084,0.7076296581286906,0.015677990241013885,0.015923050416455656,0.5565866285823647,0.4274903210011796,102,12107,13,7,20,0.6533410423721814
5,Expanded[→1.0s],-2.0,1.0,3.0,0.7198064671530828,0.013571285158990216,0.13638972786661552,0.7078642569556909,0.01568000879339547,0.016018364119843528,0.5560687230233857,0.42791291285677063,102,12107,13,7,20,0.6533410423721814
6,Expanded[→1.2s],-2.0,1.2000000000000002,3.2,0.7189578733106923,0.01356057485411633,0.13628209063476868,0.7069552638689174,0.015649672836413282,0.015209535201461268,0.5562365323122098,0.42855393248632895,102,12107,13,7,20,0.6533410423721814
7,Expanded[→1.4s],-2.0,1.4000000000000001,3.4000000000000004,0.7186359878729004,0.01355997871043113,0.1362760994648801,0.7067364487336733,0.015661881205030287,0.013538675250116762,0.5573498450559594,0.4291114796939239,102,12107,13,7,20,0.6533410423721814
8,Expanded[→1.6s],-2.0,1.6,3.6,0.7185300090806161,0.013516889749208645,0.13584306076395083,0.7065955933088597,0.01562545479653813,0.012837772226981943,0.5579758051326197,0.42918642264039847,102,12107,13,7,20,0.6533410423721814
9,Expanded[→1.8s],-2.0,1.8,3.8,0.7176206674487303,0.013544932719993939,0.13612488913238974,0.7058086447966282,0.01564807113333421,0.010846806617511051,0.5589693102933195,0.4301838830891694,102,12107,13,7,20,0.6533410423721814
10,Expanded[→2.0s],-2.0,2.0,4.0,0.7180957465358944,0.013532849569335322,0.1360034549711594,0.7060488485000551,0.015644620718156522,0.01106979823221366,0.5592694189928978,0.4296607827748886,102,12107,13,7,20,0.6533410423721814
