Window,POST End (s),Accuracy (±SEM),F1-Score,Modality Weights,Physio Features
PRE Only,0.0,0.6931 ± 0.0133,0.6794,P:0.03 B:0.97 G:0.00,13
PRE+POST[0→0.2s],0.2,0.6929 ± 0.0134,0.6794,P:0.04 B:0.96 G:0.00,26
PRE+POST[0→0.4s],0.4,0.6929 ± 0.0134,0.6794,P:0.04 B:0.96 G:0.00,26
PRE+POST[0→0.6s],0.6000000000000001,0.6929 ± 0.0134,0.6794,P:0.04 B:0.96 G:0.00,26
PRE+POST[0→0.8s],0.8,0.6929 ± 0.0134,0.6794,P:0.04 B:0.96 G:0.00,26
PRE+POST[0→1.0s],1.0,0.6929 ± 0.0134,0.6794,P:0.04 B:0.96 G:0.00,26
PRE+POST[0→1.2s],1.2000000000000002,0.6929 ± 0.0134,0.6794,P:0.04 B:0.96 G:0.00,26
PRE+POST[0→1.4s],1.4000000000000001,0.6929 ± 0.0134,0.6794,P:0.04 B:0.96 G:0.00,26
PRE+POST[0→1.6s],1.6,0.6929 ± 0.0134,0.6794,P:0.04 B:0.96 G:0.00,26
PRE+POST[0→1.8s],1.8,0.6929 ± 0.0134,0.6794,P:0.04 B:0.96 G:0.00,26
PRE+POST[0→2.0s],2.0,0.6929 ± 0.0134,0.6794,P:0.04 B:0.96 G:0.00,26
