feature,mean_abs_shap
pupil_slope_pre,0.028012671044029314
pupil_std_pre,0.012827278725736866
time_to_peak_pre,0.01044712363114721
pct_time_dilating_pre,0.00973952991138284
pupil_cv_pre,0.006172722031398136
screen_y_mean,0.004936947539317383
gaze_y_mean,0.004277837335762888
pupil_velocity_mean_pre,0.004216790442083968
gaze_path_length,0.004029904464413608
gaze_x_std,0.0033367270733844806
gaze_y_std,0.0031332196354717286
pupil_max_dilation_rate_pre,0.0030891309952433797
pupil_max_constriction_rate_pre,0.0029672605245484166
pupil_mean_pre,0.00276798059257538
gaze_x_mean,0.002265040890311322
gaze_acceleration_std,0.0019357884842203068
gaze_dispersion_x,0.0017534796736023005
gaze_dispersion_y,0.0017500008499410395
eye_asymmetry_pre,0.0015702828640372093
eye_asymmetry_std_pre,0.0015145215735566254
pupil_acceleration_std_pre,0.0014420916050369307
num_dilation_peaks_pre,0.0012754739574477641
gaze_acceleration_mean,0.0012390650044521942
screen_y_std,0.0011542823478707534
screen_x_mean,0.0010193177038244682
screen_x_std,0.0010101544512379863
gaze_velocity_max,0.00098643180335779
gaze_velocity_std,0.0008311493141019165
gaze_velocity_mean,0.0007825313630702879
fixation_ratio,0.00023301929787087014
saccade_ratio,0.0001815383087239376
saccade_count,8.03748850556181e-05
gaze_valid_pct,0.0
