feature,feature_full,invest_mean,keep_mean,difference,t_statistic,p_value,cohens_d,abs_cohens_d,significant,significant_bonferroni,modality
gaze_x_std,,0.16243243270551438,0.18383820803024153,-0.02140577532472715,-25.73833236688519,2.8105998761873243e-142,-0.491519723385885,0.491519723385885,True,True,gaze
pupil_slope,pupil_slope_pre,-0.7643786527706921,-0.4377118783945061,-0.32666677437618596,-15.84426502575816,5.617779293099658e-56,-0.3025747220800135,0.3025747220800135,True,True,pupil
pupil_std,pupil_std_pre,0.6684195028522105,0.5781181170708737,0.09030138578133684,12.543404821303325,7.218312304652115e-36,0.23953886289915466,0.23953886289915466,True,True,pupil
pct_time_dilating,pct_time_dilating_pre,0.49167112004558367,0.5134087122871689,-0.021737592241585224,-10.444641373382291,1.9883319614040057e-25,-0.19945920215540797,0.19945920215540797,True,True,pupil
screen_x_std,,0.07309191736012384,0.08213103721368246,-0.009039119853558625,-9.381739434578265,7.636851993810417e-21,-0.17916117897736242,0.17916117897736242,True,True,gaze
time_to_peak,time_to_peak_pre,0.5693574561527457,0.6778622023127052,-0.10850474615995953,-8.378449849318491,5.952219660626307e-17,-0.16000156084851697,0.16000156084851697,True,True,pupil
pupil_velocity_mean,pupil_velocity_mean_pre,0.0341055413453266,0.0317601465398269,0.0023453948054996954,7.7708178427657675,8.426725468477198e-15,0.14839773541321163,0.14839773541321163,True,True,pupil
num_dilation_peaks,num_dilation_peaks_pre,2.954740834386852,3.1358112937812725,-0.18107045939442035,-7.748005139806871,1.007825749708942e-14,-0.1479620858424388,0.1479620858424388,True,True,pupil
gaze_dispersion_x,,0.3104153411465258,0.36445622353031004,-0.05404088238378424,-7.6976545858581416,1.4933517007929627e-14,-0.14700055150538727,0.14700055150538727,True,True,gaze
pupil_max_constriction_rate,pupil_max_constriction_rate_pre,0.13562602622398143,0.12531858936738183,0.0103074368565996,6.630317329500415,3.4919848411928846e-11,0.12661782796579352,0.12661782796579352,True,True,pupil
pupil_mean,pupil_mean_pre,0.4439906770727194,0.41188471069661375,0.03210596637610563,5.41021722845297,6.414664027405897e-08,0.10331782330265124,0.10331782330265124,True,True,pupil
gaze_velocity_max,,17.433743340264513,21.775516211743774,-4.341772871479261,-5.210017032447185,1.9192603615130263e-07,-0.09949464068305124,0.09949464068305124,True,True,gaze
gaze_dispersion_y,,0.18234286952278708,0.21628326929134642,-0.03394039976855934,-4.466473292598563,8.024001246279143e-06,-0.0852953363875675,0.0852953363875675,True,True,gaze
gaze_path_length,,1.4592707451189728,1.7318447127896777,-0.27257396767070485,-4.003555098585209,6.27699840733128e-05,-0.07645508133808028,0.07645508133808028,True,True,gaze
pupil_acceleration_std,pupil_acceleration_std_pre,0.008186858394495719,0.007881899914766524,0.0003049584797291949,3.712011844709167,0.00020654038978540362,0.07088753883153696,0.07088753883153696,True,True,pupil
gaze_y_mean,,-0.12478438948250613,-0.11909342229023182,-0.005690967192274313,-2.9684891065449626,0.002998537696102469,-0.056688635600969484,0.056688635600969484,True,False,gaze
gaze_velocity_std,,2.4109718353827128,2.726237713425454,-0.3152658780427413,-2.808673450263234,0.00498257702438182,-0.05363666836204323,0.05363666836204323,True,False,gaze
gaze_acceleration_std,,298.7265050174677,345.21642520218955,-46.48992018472188,-2.786361951094478,0.005338628565323533,-0.05321059017859956,0.05321059017859956,True,False,gaze
screen_y_mean,,0.48754469997136046,0.4826276992370041,0.004917000734356358,2.5920058474991015,0.009553277734885231,0.04949901100882919,0.04949901100882919,True,False,gaze
saccade_count,,0.4696586599241466,0.5782701929949964,-0.10861153307084975,-2.574457930410798,0.010051502608954335,-0.04916390198815549,0.04916390198815549,True,False,gaze
pupil_max_dilation_rate,pupil_max_dilation_rate_pre,0.06273860526669157,0.06521746787398858,-0.0024788626072970027,-2.3961606978351653,0.016582907969869623,-0.045758995827692786,0.045758995827692786,True,False,pupil
screen_y_std,,0.033002757800711144,0.03463373099944913,-0.0016309731987379852,-1.451465972769533,0.14667606536326563,-0.02771835188349628,0.02771835188349628,False,False,gaze
gaze_y_std,,0.04898233440432008,0.04833796670929987,0.0006443676950202079,1.3715521417550962,0.1702283222875802,0.026192253628371607,0.026192253628371607,False,False,gaze
gaze_x_mean,,0.005302112546129512,0.008204500232525667,-0.0029023876863961554,-1.356081268767242,0.17509860644540454,-0.025896809498459298,0.025896809498459298,False,False,gaze
gaze_velocity_mean,,0.6387177047257682,0.6521446811834076,-0.013426976457639461,-0.44711103858633106,0.654802888794861,-0.008538389001902714,0.008538389001902714,False,False,gaze
eye_asymmetry,eye_asymmetry_pre,0.27925494441575166,0.2808779949689892,-0.0016230505532375261,-0.40979950604775844,0.681960280196794,-0.007825858217427418,0.007825858217427418,False,False,pupil
saccade_ratio,,0.002393226810927164,0.002319064256673571,7.416255425359312e-05,0.3537664308500493,0.7235200941212949,0.006755805922311628,0.006755805922311628,False,False,gaze
eye_asymmetry_std,eye_asymmetry_std_pre,0.3013543538670456,0.299805917826688,0.001548436040357648,0.29204428450003966,0.7702577697422092,0.005577110586953689,0.005577110586953689,False,False,pupil
