feature,mean_abs_shap
eeg_Gamma_Central,0.008875961282527869
eeg_Gamma_Frontal,0.007885610911338846
eeg_Beta_Parietal,0.007473773063565211
eeg_Beta_Frontal,0.007386165470219162
eeg_Alpha_Central,0.007047354526794009
eeg_Beta_Central,0.006040356263054729
eeg_Gamma_Parietal,0.005277468141333218
eeg_Alpha_Parietal,0.005143787715426692
eeg_Alpha_Frontal,0.0046869835087462695
eeg_Delta_Occipital,0.004651899991713037
eeg_Delta_Frontal,0.003946511932507401
eeg_Theta_Frontal,0.0038598034519126668
eeg_Gamma_Occipital,0.0029059790203160673
eeg_Beta_Occipital,0.002879808677042062
eeg_Delta_Parietal,0.002290830187310144
eeg_Delta_Central,0.0020452441840841055
eeg_Alpha_Occipital,0.0018700128114453112
eeg_Theta_Central,0.0015793887354847785
eeg_Theta_Occipital,0.0015641389629111766
eeg_Theta_Parietal,0.0015270685590015635
