Feature,Coefficient,Type
consecutive_same,1.2829496753118912,Sequential
running_invest_rate,1.1719909860232185,Sequential
gaze_acceleration_mean,1.1031395653373905,Gaze
ambiguity,0.9744021328352963,Behavior
gaze_velocity_mean,0.8013277662493663,Gaze
gaze_velocity_std,0.7885042400717451,Gaze
saccade_ratio,0.6764049637265468,Gaze
fixation_ratio,0.4379866034927413,Gaze
gaze_path_length,0.3961034456347143,Gaze
saccade_count,0.3074795817656597,Gaze
pupil_acceleration_std_pre,0.29770882129042775,Physiology
invest_variance,0.2811854373805913,Behavior
pupil_slope_pre,0.21231172102799045,Physiology
risk_premium,0.20895541332206818,Behavior
gaze_dispersion_y,0.19972988107563697,Gaze
pupil_max_dilation_rate_pre,0.19257379513401535,Physiology
screen_x_std,0.18064379271328423,Gaze
screen_y_std,0.1614116810039696,Gaze
num_dilation_peaks_pre,0.1559672872029666,Physiology
eye_asymmetry_pre,0.1533689704115594,Physiology
pupil_max_constriction_rate_pre,0.14421620247257225,Physiology
pct_time_dilating_pre,0.14213799882635536,Physiology
gaze_x_std,0.12920314273988362,Gaze
condition_social,0.11208522623538347,Behavior
recent_invest_rate_5,0.1113213184924711,Sequential
pupil_mean_pre,0.10576999451419491,Physiology
ev_difference,0.09772418093573722,Behavior
time_to_peak_pre,0.0954254848672323,Physiology
screen_x_mean,0.09238031110037477,Gaze
trial_position,0.08885040105881253,Sequential
gaze_acceleration_std,0.0847536341424513,Gaze
decision_time,0.08190110545983063,Behavior
gaze_y_std,0.08036643615904893,Gaze
prev_outcome,0.05695340850498931,Sequential
gaze_y_mean,0.056365635496628555,Gaze
gaze_velocity_max,0.05481048033596179,Gaze
pupil_std_pre,0.03497283342375684,Physiology
screen_y_mean,0.029217229071558964,Gaze
prev_outcome_2,0.026354659865824036,Sequential
eye_asymmetry_std_pre,0.025281948479125245,Physiology
gaze_x_mean,0.02111778057775156,Gaze
pupil_cv_pre,0.012059100069856967,Physiology
pupil_velocity_mean_pre,0.005110432519992055,Physiology
gaze_dispersion_x,0.0012091368113003815,Gaze
gaze_valid_pct,0.0,Gaze
