Feature,Coefficient,Type
gaze_velocity_mean,2.276340344584587,Gaze
gaze_velocity_std,1.2467922309743953,Gaze
gaze_acceleration_mean,1.0878540769365406,Gaze
fixation_ratio,0.9455638926035531,Gaze
saccade_ratio,0.687259176390011,Gaze
reaction_time,0.6124875627751059,Behavior
gaze_dispersion_x,0.5664397261065063,Gaze
consecutive_same,0.5639495881004427,Sequential
running_invest_rate,0.48928245866626374,Sequential
saccade_count,0.4213107821399922,Gaze
invest_variance,0.40973595263931456,Behavior
pupil_cv_pre,0.38766834510116377,Physiology
gaze_acceleration_std,0.32065796419427184,Gaze
gaze_path_length,0.3173374371541394,Gaze
pupil_max_dilation_rate_pre,0.29960023775245714,Physiology
gaze_dispersion_y,0.27908743613495957,Gaze
pupil_slope_pre,0.25580627279359297,Physiology
gaze_velocity_max,0.25352918690855947,Gaze
pupil_acceleration_std_pre,0.2306065603213316,Physiology
pupil_std_pre,0.21980099215858173,Physiology
eye_asymmetry_pre,0.21584443939309003,Physiology
recent_invest_rate_5,0.14709906506451814,Sequential
screen_x_mean,0.13707073329405087,Gaze
num_dilation_peaks_pre,0.13216562184866415,Physiology
eye_asymmetry_std_pre,0.13075295985986654,Physiology
ev_difference,0.12937400238094127,Behavior
pupil_max_constriction_rate_pre,0.1137103199965506,Physiology
trial_position,0.10783513521330206,Sequential
pct_time_dilating_pre,0.10067839424115044,Physiology
condition_social,0.09848990864566241,Behavior
gaze_x_mean,0.08361665098874033,Gaze
screen_x_std,0.07729118500335803,Gaze
risk_premium,0.06864408783604965,Behavior
prev_outcome_2,0.06090920198420964,Sequential
pupil_mean_pre,0.05593516784030147,Physiology
gaze_x_std,0.055530709611167905,Gaze
decision_time,0.05077307799182078,Behavior
prev_outcome,0.05013305983344795,Sequential
time_to_peak_pre,0.04571328982605205,Physiology
screen_y_std,0.0394358103700067,Gaze
gaze_y_std,0.018259795232499546,Gaze
pupil_velocity_mean_pre,0.01579520325811746,Physiology
screen_y_mean,0.006113127014705414,Gaze
gaze_y_mean,0.0001739712507889548,Gaze
gaze_valid_pct,0.0,Gaze
ambiguity,0.0,Behavior
