Feature,Coefficient,Type
running_invest_rate,0.8466778888713876,Sequential
consecutive_same,0.7896272615063477,Sequential
gaze_acceleration_mean,0.7475416391117324,Gaze
gaze_velocity_mean,0.7430349678996704,Gaze
fixation_ratio,0.6170988690509587,Gaze
gaze_path_length,0.5323836605739806,Gaze
saccade_count,0.4910436111457202,Gaze
gaze_acceleration_std,0.38444849987588586,Gaze
screen_x_std,0.35469341322568265,Gaze
screen_y_std,0.3269126951337859,Gaze
reaction_time,0.3233342944526063,Behavior
gaze_velocity_std,0.2938696025749652,Gaze
pupil_std_pre,0.27915873830699195,Physiology
gaze_dispersion_y,0.2774455286138105,Gaze
risk_premium,0.2760885287416147,Behavior
gaze_velocity_max,0.2719786599132938,Gaze
saccade_ratio,0.22722663078072153,Gaze
gaze_x_std,0.16594142935578315,Gaze
gaze_dispersion_x,0.15586644317252293,Gaze
pupil_max_constriction_rate_pre,0.15237966672835238,Physiology
gaze_x_mean,0.13408287403981312,Gaze
recent_invest_rate_5,0.12797293288352063,Sequential
trial_position,0.12157659476807224,Sequential
pupil_velocity_mean_pre,0.12120195535943627,Physiology
pct_time_dilating_pre,0.12019043249711601,Physiology
decision_time,0.11028523846125024,Behavior
screen_x_mean,0.10366962780809241,Gaze
screen_y_mean,0.09594976822358042,Gaze
pupil_cv_pre,0.06920635370135009,Physiology
pupil_acceleration_std_pre,0.06466310494251465,Physiology
prev_outcome,0.04543295294405134,Sequential
num_dilation_peaks_pre,0.04500398610742766,Physiology
ev_difference,0.038151029160691644,Behavior
eye_asymmetry_pre,0.0380115766892251,Physiology
pupil_slope_pre,0.031920722962429475,Physiology
condition_social,0.030008829761891145,Behavior
pupil_max_dilation_rate_pre,0.02262283708468037,Physiology
eye_asymmetry_std_pre,0.021305669165134298,Physiology
time_to_peak_pre,0.01996508359976634,Physiology
invest_variance,0.016469401101924266,Behavior
gaze_y_mean,0.010638572071711708,Gaze
pupil_mean_pre,0.007919344276275277,Physiology
gaze_y_std,0.0051309977821955835,Gaze
prev_outcome_2,0.0024013305119386817,Sequential
gaze_valid_pct,0.0,Gaze
ambiguity,0.0,Behavior
