Feature,Coefficient,Type
consecutive_same,0.7715092045983247,Sequential
ambiguity,0.7530998325772318,Behavior
running_invest_rate,0.6223473965464429,Sequential
reaction_time,0.332737004473582,Behavior
gaze_acceleration_mean,0.23363568338853274,Gaze
risk_premium,0.23126659693556167,Behavior
invest_variance,0.19764783453895673,Behavior
saccade_ratio,0.18330331343995201,Gaze
gaze_velocity_mean,0.18138551396515729,Gaze
gaze_dispersion_x,0.15181912699203645,Gaze
pupil_std_pre,0.14564193909395837,Physiology
saccade_count,0.13429257295428193,Gaze
ev_difference,0.12992116369326687,Behavior
pct_time_dilating_pre,0.11932449767852224,Physiology
screen_y_std,0.11638830730613467,Gaze
pupil_slope_pre,0.11539038288242437,Physiology
trial_position,0.11056699241307168,Sequential
gaze_y_std,0.10558170343748606,Gaze
decision_time,0.10480043307726165,Behavior
gaze_path_length,0.10171523757187736,Gaze
screen_x_std,0.08723531348299808,Gaze
eye_asymmetry_pre,0.08473093281698345,Physiology
gaze_velocity_std,0.0807606803247102,Gaze
prev_outcome,0.08043769134651643,Sequential
gaze_velocity_max,0.08014339778843792,Gaze
gaze_dispersion_y,0.07821694112789976,Gaze
recent_invest_rate_5,0.0730219514556277,Sequential
pupil_velocity_mean_pre,0.06336818154183643,Physiology
time_to_peak_pre,0.06023130486132037,Physiology
pupil_max_constriction_rate_pre,0.052698453851769626,Physiology
eye_asymmetry_std_pre,0.04709101087275301,Physiology
screen_x_mean,0.04612660832985046,Gaze
screen_y_mean,0.04208302376966972,Gaze
pupil_max_dilation_rate_pre,0.04118057526231517,Physiology
pupil_acceleration_std_pre,0.03679583024135432,Physiology
gaze_x_mean,0.03463369962961912,Gaze
num_dilation_peaks_pre,0.034424377594746314,Physiology
gaze_acceleration_std,0.032935628139325754,Gaze
prev_outcome_2,0.025236896063586606,Sequential
pupil_cv_pre,0.022583831793074344,Physiology
gaze_x_std,0.01949032647417855,Gaze
fixation_ratio,0.007923979566937363,Gaze
gaze_y_mean,0.00604449072219359,Gaze
condition_social,0.002761090276948291,Behavior
pupil_mean_pre,0.0023790666950215932,Physiology
gaze_valid_pct,0.0,Gaze
