Method,Accuracy,F1-Score,analysis_type,time_period,class_weighting,subgroup,file_source,subject_id,accuracy,Modality,Average,Weighted,Stacking,Visit,N_subjects,N_trials,F1_Score,Mean_Subject_Acc,Std_Subject_Acc,f1_score,Weight,feature,mean_abs_shap
Physiology Only,0.5190799235946226,0.5040439749970541,late_fusion,PRE,unbalanced,none,late_fusion_model_PRE_method_comparison.csv,,,,,,,,,,,,,,,,
Behavior Only,0.6474864692307798,0.6609670912619686,late_fusion,PRE,unbalanced,none,late_fusion_model_PRE_method_comparison.csv,,,,,,,,,,,,,,,,
Gaze Only,0.5027465075375215,0.5049444744142515,late_fusion,PRE,unbalanced,none,late_fusion_model_PRE_method_comparison.csv,,,,,,,,,,,,,,,,
Average Fusion,0.6380316671474069,0.6390364821562637,late_fusion,PRE,unbalanced,none,late_fusion_model_PRE_method_comparison.csv,,,,,,,,,,,,,,,,
Weighted Fusion,0.6930535240090251,0.6793601490323616,late_fusion,PRE,unbalanced,none,late_fusion_model_PRE_method_comparison.csv,,,,,,,,,,,,,,,,
Stacking,0.6353657070066168,0.6444207533343329,late_fusion,PRE,unbalanced,none,late_fusion_model_PRE_method_comparison.csv,,,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0806_1000_539136F,0.635593220338983,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0806_1000_U9TEJGM,0.7251908396946565,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0811_1000_4LI8GO7,0.5950413223140496,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0811_1000_539136F,0.7384615384615385,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0811_1000_U9TEJGM,0.7633587786259542,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0813_1000_539136F,0.5736434108527132,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0813_1000_9M4VCHG,0.6829268292682927,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0813_1000_U9TEJGM,0.6796875,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0813_1600_539136F,0.7338709677419355,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0813_1600_9M4VCHG,0.5615384615384615,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0813_1600_U9TEJGM,0.7154471544715447,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0816_1400_539136F,0.8294573643410853,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0816_1400_9M4VCHG,0.3951612903225806,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0816_1400_U9TEJGM,0.632,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0817_1000_539136F,0.5267175572519084,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0817_1000_9M4VCHG,0.6717557251908397,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0817_1000_U9TEJGM,0.773109243697479,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0818_1600_539136F,0.7196969696969697,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0818_1600_9M4VCHG,0.8111111111111111,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0818_1600_U9TEJGM,0.6893939393939394,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0819_1400_539136F,0.5348837209302325,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0819_1400_9M4VCHG,0.5436893203883495,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0819_1400_U9TEJGM,0.751937984496124,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0823_1400_539136F,0.5038167938931297,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0823_1400_9M4VCHG,0.9848484848484848,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0823_1400_U9TEJGM,0.5772357723577236,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0824_1000_539136F,0.7862595419847328,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0824_1000_9M4VCHG,0.6822429906542056,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0824_1000_U9TEJGM,0.7719298245614035,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0824_1600_539136F,0.6412213740458015,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0824_1600_9M4VCHG,0.6015625,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0824_1600_U9TEJGM,0.6446280991735537,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0825_1000_539136F,0.7837837837837838,,,,,,,,,,,,,,
,,,late_fusion_subject,PRE,unbalanced,none,late_fusion_model_PRE_subject_accuracies.csv,0825_1000_9M4VCHG,0.5555555555555556,,,,,,,,,,,,,,
