Analysis_Type,Feature_Type,Has_EEG,Grouping_Variable,Group_Name,Accuracy,Accuracy_SEM,Accuracy_SD,F1_Score,F1_SEM,Modality_Weights,N_Subjects,N_Trials,Top_10_Features,Notebook,Notes
Late Fusion,temporal,No,None,Overall,0.6930535240090251,,,0.6793601490323616,,Physiology: 0.0310; Behavior: 0.9668; Gaze: 0.0022,,,,notebooks/fusion_models/late_fusion_model.ipynb,Overall late fusion analysis
Late Fusion (No Temporal),non_temporal,No,None,Overall,0.6560611040164087,,,0.5358532989722595,,Physiology: 0.5233; Behavior: 0.4577; Gaze: 0.0190,,,,notebooks/fusion_models_no_temporal/late_fusion_model_no_temporal.ipynb,Overall late fusion analysis
Late Fusion (No Temporal) with EEG,non_temporal,Yes,None,Overall,0.6626969894232705,,,0.5461392931609138,,Physiology: 0.3324; Behavior: 0.5598; Gaze: 0.0344; EEG: 0.0734,,,,notebooks/fusion_models_no_temporal/late_fusion_model_no_temporal_eeg.ipynb,Overall late fusion analysis
Late Fusion by Ambiguity,temporal,No,Ambiguity,High,0.6075165441046098,0.0156795009865719,0.1536271073542669,0.6007019849538248,0.0183251150595349,Physiology: 0.2566; Behavior: 0.7000; Gaze: 0.0435,97.0,4172.0,,notebooks/fusion_models/ambiguity_group_late_fusion.ipynb,Ambiguity group: High
Late Fusion by Ambiguity,temporal,No,Ambiguity,Low,0.807021241397299,0.0196404236384494,0.1924360649851931,0.7361472515293696,0.024801058599998,Physiology: 0.0074; Behavior: 0.9311; Gaze: 0.0616,97.0,4177.0,,notebooks/fusion_models/ambiguity_group_late_fusion.ipynb,Ambiguity group: Low
Late Fusion by Ambiguity,temporal,No,Ambiguity,Medium,0.6860481001548517,0.0240109174056057,0.2352579835993811,0.5844333743407829,0.0293956206335619,Physiology: 0.0900; Behavior: 0.8762; Gaze: 0.0337,97.0,4162.0,,notebooks/fusion_models/ambiguity_group_late_fusion.ipynb,Ambiguity group: Medium
Late Fusion by Ambiguity (No Temporal),non_temporal,No,Ambiguity,High,0.5913569997891742,0.0162800934148866,0.1595116873252671,0.577806191860039,0.0186934840999217,Physiology: 0.5809; Behavior: 0.3459; Gaze: 0.0732,97.0,4172.0,pupil_slope_pre; pupil_std_pre; risk_premium; invest_variance; ev_difference; gaze_path_length; gaze_y_mean; pupil_velocity_mean_pre; pct_time_dilating_pre; pupil_mean_pre,notebooks/fusion_models_no_temporal/ambiguity_group_late_fusion_no_temporal.ipynb,Ambiguity group: High
Late Fusion by Ambiguity (No Temporal),non_temporal,No,Ambiguity,Low,0.807021241397299,0.0196404236384494,0.1924360649851931,0.7361472515293696,0.024801058599998,Physiology: 0.0545; Behavior: 0.7207; Gaze: 0.2248,97.0,4177.0,pupil_slope_pre; gaze_y_mean; risk_premium; invest_variance; pupil_std_pre; ev_difference; pct_time_dilating_pre; gaze_acceleration_std; gaze_acceleration_mean; screen_y_mean,notebooks/fusion_models_no_temporal/ambiguity_group_late_fusion_no_temporal.ipynb,Ambiguity group: Low
Late Fusion by Ambiguity (No Temporal),non_temporal,No,Ambiguity,Medium,0.6863917427665358,0.0240452484672994,0.2355943579332916,0.5846080021652321,0.0294146837561328,Physiology: 0.3057; Behavior: 0.6282; Gaze: 0.0662,97.0,4162.0,pupil_slope_pre; screen_y_mean; pupil_std_pre; ev_difference; invest_variance; risk_premium; gaze_x_mean; pct_time_dilating_pre; time_to_peak_pre; pupil_cv_pre,notebooks/fusion_models_no_temporal/ambiguity_group_late_fusion_no_temporal.ipynb,Ambiguity group: Medium
Late Fusion by Ambiguity (No Temporal) with EEG,non_temporal,Yes,Ambiguity,High,0.5785016043023313,0.0175443501025014,0.1578991509225134,0.581071389916805,0.0187294121931564,Physiology: 0.4760; Behavior: 0.4078; Gaze: 0.0841; EEG: 0.0321,82.0,3463.0,,notebooks/fusion_models_no_temporal/ambiguity_group_late_fusion_no_temporal_eeg.ipynb,Ambiguity group: High
