Feature,Importance
eeg_Theta_Central,0.08332606938610443
eeg_Delta_Central,0.07569344125020279
eeg_Gamma_Central,0.05406798017952454
eeg_Delta_Frontal,0.054014289343864645
eeg_Alpha_Parietal,0.05312989891535072
eeg_Theta_Frontal,0.05214356904812135
eeg_Theta_Occipital,0.05182154166279512
eeg_Alpha_Central,0.05130095136958299
eeg_Theta_Parietal,0.049520906232604814
eeg_Gamma_Frontal,0.049421117942763375
eeg_Alpha_Frontal,0.049111630866056154
eeg_Beta_Central,0.047889507818901604
eeg_Alpha_Occipital,0.04696874570297182
eeg_Beta_Parietal,0.04575011850170835
eeg_Delta_Occipital,0.04549346690393745
eeg_Gamma_Parietal,0.042778511339471643
eeg_Beta_Occipital,0.03941945688073881
eeg_Beta_Frontal,0.03696907452870453
eeg_Gamma_Occipital,0.036122951555955865
eeg_Delta_Parietal,0.03505677057063895
