subject_id,team,accuracy_v2v3,n_trials,accuracy_within_v3,delta
0826_1000_539136F,Team 17,0.9772727272727273,132,0.9772727272727273,0.0
0826_1000_9M4VCHG,Team 17,0.7322834645669292,127,0.7007874015748031,0.03149606299212604
0901_1300_539136F,Team 21,0.8362068965517241,116,0.8103448275862069,0.025862068965517238
0901_1300_9M4VCHG,Team 21,0.3790322580645161,124,0.4274193548387097,-0.04838709677419356
0901_1300_U9TEJGM,Team 21,0.640625,128,0.7109375,-0.0703125
0924_1000_539136F,Team 22,0.7109375,128,0.7109375,0.0
0924_1000_9M4VCHG,Team 22,0.9846153846153847,130,0.9846153846153847,0.0
0924_1000_U9TEJGM,Team 22,0.825,120,0.75,0.07499999999999996
0924_1600_539136F,Team 24,0.8813559322033898,59,0.8813559322033898,0.0
0924_1600_9M4VCHG,Team 24,0.46923076923076923,130,0.5538461538461539,-0.08461538461538465
0924_1600_U9TEJGM,Team 24,0.6910569105691057,123,0.6829268292682927,0.008130081300812941
