subject_id,accuracy_cross,accuracy_within,n_trials,delta,modality
0802_1400_U9TEJGM,0.7175572519083969,0.6641221374045801,131,0.05343511450381677,all_features
0816_1400_539136F,0.8604651162790697,0.8449612403100775,129,0.015503875968992276,all_features
0816_1400_9M4VCHG,0.47580645161290325,0.3709677419354839,124,0.10483870967741937,all_features
0816_1400_U9TEJGM,0.64,0.648,125,-0.008000000000000007,all_features
0823_1400_539136F,0.6412213740458015,0.6106870229007634,131,0.030534351145038108,all_features
0823_1400_9M4VCHG,0.9924242424242424,1.0,132,-0.007575757575757569,all_features
0823_1400_U9TEJGM,0.5691056910569106,0.5934959349593496,123,-0.024390243902439046,all_features
0826_1300_539136F,0.5909090909090909,0.6136363636363636,132,-0.022727272727272707,all_features
0826_1300_9M4VCHG,0.768595041322314,0.768595041322314,121,0.0,all_features
0826_1300_U9TEJGM,0.6025641025641025,0.5897435897435898,78,0.012820512820512775,all_features
0828_1300_9M4VCHG,0.5929203539823009,0.5486725663716814,113,0.04424778761061954,all_features
0828_1300_U9TEJGM,0.8648648648648649,0.7972972972972973,74,0.06756756756756765,all_features
0831_1300_539136F,0.8307692307692308,0.8076923076923077,130,0.023076923076923106,all_features
0831_1300_9M4VCHG,0.8319327731092437,0.6974789915966386,119,0.13445378151260512,all_features
0831_1300_U9TEJGM,0.7054263565891473,0.6434108527131783,129,0.06201550387596899,all_features
0901_1000_539136F,0.664,0.624,125,0.040000000000000036,all_features
0901_1000_9M4VCHG,0.6290322580645161,0.5080645161290323,124,0.12096774193548387,all_features
0901_1000_U9TEJGM,0.9242424242424242,0.9090909090909091,132,0.015151515151515138,all_features
0917_1030_539136F,0.6183206106870229,0.6335877862595419,131,-0.015267175572518998,all_features
0917_1030_9M4VCHG,1.0,1.0,129,0.0,all_features
0917_1030_U9TEJGM,0.7829457364341085,0.6201550387596899,129,0.16279069767441856,all_features
0923_1000_539136F,0.9694656488549618,0.9618320610687023,131,0.007633587786259444,all_features
0923_1000_9M4VCHG,0.9312977099236641,0.9389312977099237,131,-0.007633587786259555,all_features
0923_1000_U9TEJGM,0.765625,0.7734375,128,-0.0078125,all_features
0923_1600_539136F,0.768595041322314,0.743801652892562,121,0.024793388429752095,all_features
0923_1600_U9TEJGM,0.7578125,0.7421875,128,0.015625,all_features
0930_1700_539136F,1.0,1.0,95,0.0,all_features
0930_1700_9M4VCHG,0.7142857142857143,0.8035714285714286,112,-0.0892857142857143,all_features
0930_1700_U9TEJGM,0.6504065040650406,0.6178861788617886,123,0.03252032520325199,all_features
1005_1600_9M4VCHG,0.8373983739837398,0.8130081300813008,123,0.024390243902439046,all_features
1005_1600_U9TEJGM,1.0,1.0,51,0.0,all_features
