subject_id,accuracy_cross,accuracy_within,n_trials,delta,modality
0802_1400_U9TEJGM,0.7175572519083969,0.7480916030534351,131,-0.03053435114503822,gaze+behavior
0816_1400_539136F,0.8449612403100775,0.8062015503875969,129,0.03875968992248058,gaze+behavior
0816_1400_9M4VCHG,0.4596774193548387,0.4112903225806452,124,0.048387096774193505,gaze+behavior
0816_1400_U9TEJGM,0.656,0.608,125,0.04800000000000004,gaze+behavior
0823_1400_539136F,0.6412213740458015,0.5801526717557252,131,0.06106870229007633,gaze+behavior
0823_1400_9M4VCHG,0.9924242424242424,0.9924242424242424,132,0.0,gaze+behavior
0823_1400_U9TEJGM,0.5934959349593496,0.7317073170731707,123,-0.1382113821138211,gaze+behavior
0826_1300_539136F,0.5681818181818182,0.6136363636363636,132,-0.045454545454545414,gaze+behavior
0826_1300_9M4VCHG,0.7603305785123967,0.6942148760330579,121,0.06611570247933884,gaze+behavior
0826_1300_U9TEJGM,0.6282051282051282,0.6282051282051282,78,0.0,gaze+behavior
0828_1300_9M4VCHG,0.5575221238938053,0.4336283185840708,113,0.12389380530973448,gaze+behavior
0828_1300_U9TEJGM,0.8648648648648649,0.8108108108108109,74,0.05405405405405406,gaze+behavior
0831_1300_539136F,0.823076923076923,0.8153846153846154,130,0.007692307692307665,gaze+behavior
0831_1300_9M4VCHG,0.8487394957983193,0.6974789915966386,119,0.1512605042016807,gaze+behavior
0831_1300_U9TEJGM,0.7054263565891473,0.6356589147286822,129,0.06976744186046513,gaze+behavior
0901_1000_539136F,0.648,0.656,125,-0.008000000000000007,gaze+behavior
0901_1000_9M4VCHG,0.6209677419354839,0.5645161290322581,124,0.056451612903225756,gaze+behavior
0901_1000_U9TEJGM,0.9166666666666666,0.9166666666666666,132,0.0,gaze+behavior
0917_1030_539136F,0.5725190839694656,0.6335877862595419,131,-0.06106870229007633,gaze+behavior
0917_1030_9M4VCHG,1.0,1.0,129,0.0,gaze+behavior
0917_1030_U9TEJGM,0.7441860465116279,0.6434108527131783,129,0.10077519379844957,gaze+behavior
0923_1000_539136F,0.9694656488549618,0.9847328244274809,131,-0.01526717557251911,gaze+behavior
0923_1000_9M4VCHG,0.9236641221374046,0.9236641221374046,131,0.0,gaze+behavior
0923_1000_U9TEJGM,0.765625,0.7734375,128,-0.0078125,gaze+behavior
0923_1600_539136F,0.7603305785123967,0.7355371900826446,121,0.024793388429752095,gaze+behavior
0923_1600_U9TEJGM,0.765625,0.7265625,128,0.0390625,gaze+behavior
0930_1700_539136F,1.0,1.0,95,0.0,gaze+behavior
0930_1700_9M4VCHG,0.7142857142857143,0.7946428571428571,112,-0.0803571428571428,gaze+behavior
0930_1700_U9TEJGM,0.6097560975609756,0.5853658536585366,123,0.024390243902439046,gaze+behavior
1005_1600_9M4VCHG,0.8455284552845529,0.7967479674796748,123,0.04878048780487809,gaze+behavior
1005_1600_U9TEJGM,1.0,1.0,51,0.0,gaze+behavior
