ambiguity,feature,cohens_d,p_value,invest_mean,keep_mean
Low,fz_pz_theta_coh,0.011063986610674962,0.7970207659744155,0.4263348407746125,0.4231485818947132
Low,f3_p3_theta_coh,-0.053657884729811374,0.21230306449968978,0.45995946784134173,0.4747601754677024
Low,f4_p4_theta_coh,0.005059728376097575,0.906365574106658,0.4038195091720184,0.4024241905010707
Low,mean_fp_theta_coh,-0.0153553946628111,0.7211175475045037,0.4300379392626576,0.4334443159544954
Medium,fz_pz_theta_coh,0.04786633004833016,0.18493527112730526,0.4268783913234056,0.4130185861553632
Medium,f3_p3_theta_coh,0.03818628581491895,0.29021098785938965,0.4607014804783731,0.4500338204991077
Medium,f4_p4_theta_coh,0.11536896599399148,0.0014060982127401822,0.4143619732395796,0.38240585836023544
Medium,mean_fp_theta_coh,0.08414601311343017,0.019810237813882865,0.4339806150137861,0.4151527550049021
High,fz_pz_theta_coh,0.02783234420526709,0.4055684704354132,0.42865837679531005,0.42061910097404703
High,f3_p3_theta_coh,-0.07406015023202325,0.026932230018157234,0.45470658979171685,0.47531615427899115
High,f4_p4_theta_coh,0.0379923443998527,0.25625693457763943,0.40723011553942734,0.3967379408802297
High,mean_fp_theta_coh,-0.0030958235711943125,0.9262870479029438,0.43019836070881806,0.43089106537775596
