ambiguity,feature,band,region,cohens_d,abs_d,p_value,invest_mean,keep_mean,n_invest,n_keep
Low,eeg_Delta_Frontal,Delta,Frontal,-0.1568360078246291,0.1568360078246291,0.0002698469038171954,0.09974604247164531,0.14481698402481857,2965,661
Low,eeg_Delta_Central,Delta,Central,-0.0007353868248524106,0.0007353868248524106,0.9863603268761629,0.09015818087037579,0.09031150332674695,2965,661
Low,eeg_Delta_Parietal,Delta,Parietal,-0.009007739253555445,0.009007739253555445,0.8341333453504909,0.0921336671422168,0.09377237931281662,2965,661
Low,eeg_Delta_Occipital,Delta,Occipital,-0.034331434497887385,0.034331434497887385,0.4248286972610593,0.09051740408819632,0.09664526861250079,2965,661
Low,eeg_Theta_Frontal,Theta,Frontal,-0.06701673100086956,0.06701673100086956,0.11930784017926976,0.036587810678607426,0.041232256395260555,2965,661
Low,eeg_Theta_Central,Theta,Central,-0.04650927477837943,0.04650927477837943,0.2796438899109231,0.033244086704714564,0.03635864415074652,2965,661
Low,eeg_Theta_Parietal,Theta,Parietal,-0.054174584850989964,0.054174584850989964,0.20793446034567156,0.03522720159717064,0.03885275615136415,2965,661
Low,eeg_Theta_Occipital,Theta,Occipital,-0.015244951839563753,0.015244951839563753,0.7230404802248462,0.03981170087981144,0.041087828842647084,2965,661
Low,eeg_Alpha_Frontal,Alpha,Frontal,-0.12077304728792558,0.12077304728792558,0.005014500510534025,0.03387532459533012,0.04256701847095003,2965,661
Low,eeg_Alpha_Central,Alpha,Central,-0.08529457069888684,0.08529457069888684,0.04744390086957921,0.033088537975367094,0.0392627789142648,2965,661
Low,eeg_Alpha_Parietal,Alpha,Parietal,-0.12122247932482764,0.12122247932482764,0.00485452500595791,0.037300914306671214,0.04673153773588436,2965,661
Low,eeg_Alpha_Occipital,Alpha,Occipital,-0.09228124981162956,0.09228124981162956,0.03198541047619127,0.04016882756550308,0.049859672156459395,2965,661
Low,eeg_Beta_Frontal,Beta,Frontal,-0.15655239575769073,0.15655239575769073,0.00027682518909702007,0.044185875292121174,0.06954722016655569,2965,661
Low,eeg_Beta_Central,Beta,Central,-0.09835762347104077,0.09835762347104077,0.022271366055943282,0.049883419489035095,0.0757248956186608,2965,661
Low,eeg_Beta_Parietal,Beta,Parietal,-0.16485342196069447,0.16485342196069447,0.00012893029286552336,0.045618121913879074,0.06599017137915437,2965,661
Low,eeg_Beta_Occipital,Beta,Occipital,-0.12796726361598063,0.12796726361598063,0.0029484990382508207,0.04315012496984682,0.06434323965833548,2965,661
Medium,eeg_Delta_Frontal,Delta,Frontal,-0.05602334903859926,0.05602334903859926,0.12076774968580631,0.09839540833530505,0.11129638952466095,2486,1110
Medium,eeg_Delta_Central,Delta,Central,-0.09464237349667216,0.09464237349667216,0.008785379449411176,0.08428203324355998,0.09919796468732027,2486,1110
