ambiguity,modality,accuracy_mean,accuracy_std,accuracy_sem,n_subjects
Low,EEG,0.704276917123779,0.22734041585687303,0.023574102950350413,93
Low,Behavior,0.6411643769567116,0.21295159785172918,0.022082052028790256,93
Low,Physio,0.5424715419606535,0.1882987825389818,0.0195256741669473,93
Low,Gaze,0.6995955713211947,0.1762551172585273,0.01827680425461397,93
Medium,EEG,0.6117348497599036,0.2288606267473735,0.02360517128593445,94
Medium,Behavior,0.657731563526025,0.21934420282244352,0.022623627103476623,94
Medium,Physio,0.515563161360347,0.18568337201565827,0.01915177749739254,94
Medium,Gaze,0.6284751589842695,0.1859012080999574,0.019174245573947334,94
High,EEG,0.47064510958225425,0.1858977678620377,0.01917389074049908,94
High,Behavior,0.6610281516175652,0.17351401739170821,0.017896604406152563,94
High,Physio,0.5893675294573129,0.16930412027665365,0.017462386673249473,94
High,Gaze,0.641907040430433,0.166630849801524,0.01718665987674497,94
