Feature,Importance
eeg_F7,0.09906212367188569
eeg_T5,0.09447240233346287
eeg_P3,0.0922322960791926
eeg_P4,0.08194228669375911
eeg_C4,0.06568822562371633
eeg_Fz,0.06361144965329607
eeg_Pz,0.05396905766553613
eeg_F4,0.04929685067388379
eeg_O1,0.04870860483357931
eeg_Cz,0.04610308220849572
eeg_T3,0.04418331723712281
eeg_F3,0.03913084644067061
eeg_POz,0.03761153619902851
eeg_Fp1,0.033945511161184876
eeg_O2,0.03256515895150792
eeg_Fp2,0.026130873087249134
eeg_T6,0.02518033027740733
eeg_C3,0.02349010776833971
eeg_F8,0.0234467819043696
eeg_T4,0.01922915753631198
