Feature,Importance
eeg_Beta_P4,0.04386136992758763
eeg_Beta_F7,0.04283089694277613
eeg_Beta_P3,0.0406938900657399
eeg_Beta_C4,0.03460651067210729
eeg_Beta_C3,0.026744278735751723
eeg_Delta_T5,0.026690545580380833
eeg_Alpha_P3,0.02614135088819287
eeg_Theta_T5,0.02357048198448388
eeg_Beta_F3,0.022867053919207254
eeg_Alpha_T5,0.02238087024190075
eeg_Beta_POz,0.02211786570127499
eeg_Theta_F7,0.021954243004724414
eeg_Alpha_F4,0.021828264983870693
eeg_Beta_Fz,0.020461589893370186
eeg_Beta_T5,0.02041452896534257
eeg_Beta_Pz,0.02016008013136105
eeg_Beta_F4,0.017620638243262373
eeg_Theta_P3,0.016644263208829117
eeg_Delta_F7,0.01663841118593759
eeg_Alpha_POz,0.014176266900988915
eeg_Alpha_F7,0.013762539818843476
eeg_Beta_T4,0.01364732283796267
eeg_Beta_T3,0.013627684868858651
eeg_Beta_Fp2,0.013626966446585105
eeg_Alpha_Fz,0.013350857060678071
eeg_Alpha_C4,0.013154555596893108
eeg_Delta_Cz,0.012165196910336979
eeg_Beta_F8,0.011688099840909186
eeg_Theta_P4,0.011664128006224853
eeg_Alpha_Fp1,0.011230171739610077
eeg_Theta_C4,0.010931918786256831
eeg_Beta_Fp1,0.010467876166229633
eeg_Delta_F4,0.010277667610670416
eeg_Beta_Cz,0.010015708379550159
eeg_Theta_Fp1,0.009564772438519564
eeg_Beta_O1,0.009513027611414713
eeg_Delta_O1,0.009414421861377168
eeg_Alpha_O1,0.009260120239409487
eeg_Beta_O2,0.00924962753572545
eeg_Delta_C4,0.0092065033650653
eeg_Delta_Pz,0.008880535420028183
eeg_Alpha_Fp2,0.008732530466693741
eeg_Delta_Fp1,0.008727422006587464
eeg_Delta_T6,0.008689103430537418
eeg_Theta_O1,0.008644638914378576
eeg_Theta_F4,0.008439845161108203
eeg_Delta_P4,0.00833184479097318
eeg_Theta_F3,0.008233406161909417
eeg_Delta_O2,0.008177582138497851
eeg_Alpha_T6,0.00801062799221242
eeg_Delta_C3,0.007645981713872848
eeg_Beta_T6,0.007566448774523427
eeg_Delta_T3,0.007236593923936044
eeg_Theta_T6,0.007231893909564639
eeg_Theta_T3,0.0070128475921829156
eeg_Alpha_Pz,0.006994741616112083
eeg_Delta_P3,0.006912820947321818
eeg_Alpha_P4,0.006854641738495002
eeg_Delta_POz,0.006849831779010486
eeg_Delta_F3,0.006827634632124105
eeg_Alpha_F3,0.0068187270461552395
eeg_Theta_Cz,0.006815775688488969
eeg_Theta_Fz,0.006761874967392466
eeg_Theta_Fp2,0.006638170453469762
eeg_Alpha_F8,0.00644537342261024
eeg_Theta_Pz,0.0064167461494360175
eeg_Delta_T4,0.006252560039368755
eeg_Theta_T4,0.006095177347575559
eeg_Alpha_C3,0.006054306727497911
eeg_Theta_C3,0.006043227437787567
eeg_Theta_O2,0.005758540865612434
eeg_Theta_F8,0.00572674407986095
eeg_Alpha_O2,0.005577858742868241
eeg_Theta_POz,0.005514094030906885
eeg_Delta_Fp2,0.005312722994191046
eeg_Delta_Fz,0.005029171819728024
eeg_Alpha_Cz,0.00487859579512034
eeg_Alpha_T3,0.00472692274116173
eeg_Alpha_T4,0.004628088867305962
eeg_Delta_F8,0.004281779375181071
