Feature,Importance
eeg_Beta_F7,0.02471522120028398
eeg_Beta_P4,0.02439176541138026
eeg_Beta_P3,0.023922924346503914
eeg_Delta_T5,0.021824751051771764
eeg_Beta_C4,0.020625700426522956
eeg_Beta_Frontal_medial_lateralization,0.019705809519365323
eeg_Alpha_Occipital_slope,0.01912911939666267
eeg_Beta_Central_mean,0.018272487207159703
eeg_Beta_C3,0.018110881779475653
eeg_Alpha_Parietal_slope,0.01679293001180044
eeg_Alpha_P3,0.016686402463897354
eeg_Beta_Central_lateralization,0.016680851826485217
eeg_Beta_Fz,0.014323166919779837
eeg_Beta_T4,0.013941340808101329
eeg_Beta_Parietal_mean,0.013384797839293786
eeg_Theta_T5,0.013215120463191548
eeg_Theta_P3,0.01310569802600778
eeg_Beta_Frontal_mean,0.012268340945459325
eeg_Beta_POz,0.012199566743574513
eeg_Beta_T5,0.0120225586191957
eeg_Theta_F7,0.0113640069694026
eeg_Beta_F3,0.011295921248843996
eeg_Delta_F7,0.011280268514369566
eeg_Beta_T3,0.010084415725728928
eeg_Alpha_T5,0.009911696906658921
eeg_Beta_Pz,0.009798438782411656
eeg_Beta_Parietal_lateralization,0.009621943965316779
eeg_Alpha_Fz,0.009341977444476533
eeg_Beta_Occipital_slope,0.009320790447559566
eeg_Beta_Parietal_slope,0.00904831727746055
eeg_Beta_Temporal_posterior_lateralization,0.008860623799498746
eeg_Beta_F4,0.008793874348813938
eeg_Delta_Frontal_lateral_lateralization,0.008679147236064777
eeg_Theta_Frontal_medial_lateralization,0.008425180181188659
eeg_Beta_F8,0.008409680876660067
eeg_Alpha_F4,0.007914071076014894
eeg_Delta_Frontal_pole_lateralization,0.007859411569568577
eeg_Theta_P4,0.007520530840463416
eeg_Theta_Parietal_lateralization,0.007411955059496599
eeg_Beta_Occipital_mean,0.007403912280414376
eeg_Alpha_F7,0.00739184370233721
eeg_Beta_Frontal_pole_lateralization,0.007288357598898578
eeg_Beta_Fp1,0.007186138590422919
eeg_Alpha_Temporal_posterior_lateralization,0.007098289414354307
eeg_Beta_Fp2,0.007060734940718264
eeg_Delta_Cz,0.007002196325744604
eeg_Beta_Frontal_lateral_lateralization,0.006704899060594076
eeg_Alpha_Parietal_lateralization,0.006519597265129729
eeg_Theta_Temporal_posterior_lateralization,0.006481544581180833
eeg_Delta_Temporal_posterior_lateralization,0.006435670261109867
eeg_Alpha_Frontal_medial_lateralization,0.006291339799497016
eeg_Alpha_Occipital_mean,0.00614554829601412
eeg_Delta_T3,0.00604536189192379
eeg_Delta_Occipital_lateralization,0.0060366537299693275
eeg_Alpha_Frontal_lateral_lateralization,0.005830199937234583
eeg_Delta_Fp1,0.0058228704835457615
eeg_Alpha_Occipital_std,0.005819071983002592
eeg_Alpha_Fp1,0.005739615564895044
eeg_Alpha_C4,0.005706541756688993
eeg_Theta_Fp1,0.005692502198749898
eeg_Delta_Frontal_medial_lateralization,0.0056155541635711185
eeg_Beta_Central_std,0.005604743652190843
eeg_Delta_O2,0.005406074839050263
eeg_Theta_Parietal_mean,0.0053794705967202695
eeg_Theta_F4,0.005218936645812357
eeg_Alpha_O1,0.005137153571699512
eeg_Alpha_Parietal_mean,0.005120907821501907
eeg_Alpha_POz,0.0050930189312222715
eeg_Theta_F3,0.004947472463403846
eeg_Delta_C4,0.0048765408398095044
eeg_Beta_O2,0.004779290347262963
eeg_Alpha_Frontal_mean,0.004725749431952451
eeg_Beta_Cz,0.004702909856540587
eeg_Alpha_Fp2,0.004580953905775238
eeg_Theta_C4,0.004574016844857318
eeg_Delta_F4,0.004568784785469032
eeg_Alpha_Frontal_slope,0.004539609786852177
eeg_Alpha_Central_slope,0.004441999880995842
eeg_Beta_O1,0.004431924493620735
eeg_Delta_O1,0.00428740941741173
eeg_Theta_Central_lateralization,0.004245861458366221
eeg_Alpha_Frontal_pole_lateralization,0.004201732056107217
eeg_Beta_Temporal_anterior_lateralization,0.004102344739503104
eeg_Theta_Frontal_lateral_lateralization,0.004069645162248155
eeg_Delta_P3,0.0039770866344207316
eeg_Theta_Frontal_pole_lateralization,0.003851904695114842
eeg_Delta_T6,0.003846800132553461
