Feature,Importance
eeg_Beta_Central_lateralization,0.06445314062938844
eeg_Beta_Frontal_medial_lateralization,0.04073898553109382
eeg_Beta_Central_mean,0.03629235605032011
eeg_Beta_Central_power,0.026643469648974957
eeg_Alpha_Occipital_slope,0.022145642249580398
eeg_Beta_Parietal_mean,0.021692545138322514
eeg_Delta_Temporal_posterior_lateralization,0.020620570845467562
eeg_Beta_Parietal_lateralization,0.019728514353936053
eeg_Beta_Temporal_posterior_lateralization,0.01903293221138702
eeg_Theta_Central_lateralization,0.01833761212953445
eeg_Alpha_Temporal_posterior_lateralization,0.017707320989829155
eeg_Beta_Central_std,0.01720331742370579
eeg_Beta_Frontal_power,0.016721187994297844
eeg_Theta_Frontal_medial_lateralization,0.016661292758191486
eeg_Delta_Parietal_power,0.015599538983752465
eeg_Beta_Frontal_mean,0.015436153964708953
eeg_Alpha_Parietal_slope,0.015133802490050786
eeg_Theta_Temporal_posterior_lateralization,0.014808694642227544
eeg_Delta_Frontal_lateral_lateralization,0.014247003410968908
eeg_Beta_Occipital_slope,0.014076250830482575
eeg_Beta_Occipital_power,0.013779405513464234
eeg_Delta_Central_power,0.013083680115874729
eeg_Beta_Occipital_mean,0.013067396440781733
eeg_Beta_Parietal_power,0.012298912394281618
eeg_Alpha_Frontal_medial_lateralization,0.012072156203237976
eeg_Beta_Parietal_slope,0.01198134242734173
eeg_Beta_Frontal_pole_lateralization,0.011535439098264218
eeg_Alpha_Occipital_mean,0.011283234276072439
eeg_Alpha_Frontal_mean,0.01072404894557295
eeg_Delta_Frontal_medial_lateralization,0.0106454145885507
eeg_Alpha_Frontal_power,0.010549072512883324
eeg_Beta_Frontal_lateral_lateralization,0.010520775415605909
eeg_Theta_Frontal_power,0.010213437797053838
eeg_Theta_Parietal_lateralization,0.010094263159083433
eeg_Delta_Central_mean,0.009807729185305265
eeg_Beta_Frontal_std,0.009693103871440885
eeg_Delta_Frontal_pole_lateralization,0.009571864835711812
eeg_Alpha_Parietal_lateralization,0.00955956389926057
eeg_Delta_Occipital_power,0.009551381967311182
eeg_Delta_Frontal_mean,0.009189348274752833
eeg_Delta_Occipital_lateralization,0.00877256159760481
eeg_Alpha_Occipital_std,0.008760723477428201
eeg_Alpha_Central_lateralization,0.008638514824891976
eeg_Theta_Parietal_power,0.00857050329502214
eeg_Beta_Temporal_anterior_lateralization,0.008232238177141199
eeg_Theta_Frontal_mean,0.00822897424723472
eeg_Theta_Central_mean,0.0077076311061832015
eeg_Delta_Temporal_anterior_lateralization,0.0076610715351174375
eeg_Alpha_Parietal_mean,0.007174285722825466
eeg_Alpha_Frontal_lateral_lateralization,0.007118382037607702
eeg_Delta_Frontal_power,0.007092800647006679
eeg_Beta_Central_slope,0.007061057306297705
eeg_Delta_Parietal_mean,0.006978246655637342
eeg_Alpha_Occipital_power,0.006953907100473809
eeg_Theta_Parietal_mean,0.006824186906005331
eeg_Theta_Parietal_std,0.006773373926854873
eeg_Alpha_Frontal_slope,0.006770143911926382
eeg_Theta_Frontal_std,0.006750299450967844
eeg_Alpha_Parietal_power,0.006586490644873483
eeg_Beta_Frontal_slope,0.006461386900114243
eeg_Delta_Parietal_std,0.006418243110998401
eeg_Theta_Temporal_anterior_lateralization,0.0063685016849317705
eeg_Alpha_Frontal_std,0.006312609293697729
eeg_Delta_Central_lateralization,0.006276058141029965
eeg_Delta_Parietal_lateralization,0.006220975850809015
eeg_Alpha_Central_mean,0.006087105978772284
eeg_Alpha_Temporal_anterior_lateralization,0.005807287704831528
eeg_Beta_Occipital_std,0.005763870101044965
eeg_Theta_Central_std,0.005621643258286253
eeg_Theta_Frontal_pole_lateralization,0.005613931958752974
eeg_Theta_Central_power,0.005602181974965659
eeg_Beta_Parietal_std,0.005533966176399674
eeg_Alpha_Central_slope,0.005468423305698841
eeg_Delta_Central_std,0.005405458032225673
eeg_Theta_Frontal_lateral_lateralization,0.005368104913990118
eeg_Alpha_Frontal_pole_lateralization,0.005326464186624057
eeg_Alpha_Central_power,0.005288524987319569
eeg_Beta_Occipital_lateralization,0.005238836734288954
eeg_Delta_Frontal_std,0.0052261237856474916
eeg_Theta_Frontal_slope,0.0051906719235791645
eeg_Delta_Frontal_slope,0.005090009885138297
eeg_Theta_Occipital_lateralization,0.004927643678785915
eeg_Alpha_Parietal_std,0.004799350918463938
eeg_Theta_Central_slope,0.004657810521767023
eeg_Theta_Occipital_mean,0.0046095408987720105
eeg_Delta_Occipital_slope,0.004566711042922525
eeg_Delta_Occipital_std,0.004466681375584433
eeg_Delta_Occipital_mean,0.004408628816081823
eeg_Theta_Occipital_slope,0.004407515484869587
eeg_Alpha_Central_std,0.004212677573540403
eeg_Alpha_Occipital_lateralization,0.004208933920780738
eeg_Delta_Central_slope,0.004073620276249547
eeg_Theta_Occipital_std,0.004065849290851312
eeg_Theta_Occipital_power,0.004026483220986216
eeg_Theta_Parietal_slope,0.003967137017109895
eeg_Delta_Parietal_slope,0.003753740304915492
