Feature,Importance
eeg_Beta_Central_mean,0.04268165770435536
eeg_Beta_Frontal_medial_lateralization,0.04212188490908867
eeg_Alpha_Occipital_slope,0.0309774703023712
eeg_Beta_Central_lateralization,0.02806075831217851
eeg_Beta_Parietal_mean,0.025849694859753015
eeg_Beta_Central,0.023071223475417867
eeg_Beta_Parietal_lateralization,0.02197608224088755
eeg_Delta_Temporal_posterior_lateralization,0.02059300680472315
eeg_Alpha_Parietal_slope,0.01965583698350781
eeg_Theta_Frontal_medial_lateralization,0.016547703935623277
eeg_Theta_Temporal_posterior_lateralization,0.016197412756721482
eeg_Beta_Frontal,0.0160314070250931
eeg_Delta_Parietal,0.015959151587455544
eeg_Beta_Occipital_slope,0.015423868120089943
eeg_Beta_Frontal_pole_lateralization,0.01539362566181946
eeg_Beta_Parietal,0.01515257682707083
eeg_Beta_Frontal_mean,0.015012307653940283
eeg_Delta_Frontal_lateral_lateralization,0.014982322456697457
eeg_Beta_Temporal_posterior_lateralization,0.014790485126236427
eeg_Beta_Parietal_slope,0.01456721809319476
eeg_Beta_Central_std,0.013857901201944276
eeg_Beta_Frontal_lateral_lateralization,0.013595874670342489
eeg_Theta_Parietal_lateralization,0.013189105395213355
eeg_Delta_Frontal_medial_lateralization,0.01292481858686537
eeg_Alpha_Frontal_medial_lateralization,0.012524179099836578
eeg_Delta_Frontal_pole_lateralization,0.012461176561453362
eeg_Alpha_Temporal_posterior_lateralization,0.01218327598242691
eeg_Beta_Occipital,0.011870630256226025
eeg_Beta_Occipital_mean,0.011819535408808254
eeg_Delta_Central,0.0111477373731065
eeg_Delta_Occipital_lateralization,0.011004591602831786
eeg_Alpha_Parietal_lateralization,0.010725149193094464
eeg_Theta_Parietal,0.01011363337638474
eeg_Delta_Occipital,0.009983014800138856
eeg_Delta_Parietal_std,0.009497718544859254
eeg_Alpha_Frontal_lateral_lateralization,0.009381797455718129
eeg_Theta_Central_lateralization,0.009094374567213586
eeg_Alpha_Parietal_mean,0.008784245183970533
eeg_Beta_Temporal_anterior_lateralization,0.008769952017318635
eeg_Alpha_Frontal_mean,0.008735723592055055
eeg_Alpha_Occipital_mean,0.008603954209223181
eeg_Alpha_Occipital_std,0.008595454832916636
eeg_Theta_Parietal_mean,0.008366166920735342
eeg_Alpha_Frontal_slope,0.008211641667656634
eeg_Theta_Frontal_pole_lateralization,0.008209832814756601
eeg_Alpha_Parietal,0.008107892180832785
eeg_Theta_Frontal,0.008040427342128386
eeg_Alpha_Frontal,0.007823066362176659
eeg_Alpha_Central_mean,0.007816989170259478
eeg_Alpha_Central,0.007512061857256041
eeg_Theta_Temporal_anterior_lateralization,0.007475358405237761
eeg_Beta_Occipital_std,0.007353713916089581
eeg_Delta_Frontal_mean,0.007210721545900039
eeg_Delta_Parietal_mean,0.00720358552374849
eeg_Delta_Temporal_anterior_lateralization,0.007193742411486256
eeg_Beta_Central_slope,0.007171103272124051
eeg_Alpha_Occipital,0.00715979333211014
eeg_Beta_Frontal_std,0.007116484406393597
eeg_Theta_Frontal_mean,0.007103909631347539
eeg_Delta_Frontal,0.007095363474336611
eeg_Alpha_Temporal_anterior_lateralization,0.006838140458210887
eeg_Theta_Frontal_lateral_lateralization,0.006808630357191215
eeg_Alpha_Frontal_pole_lateralization,0.006794525653197569
eeg_Alpha_Central_slope,0.00671842955075011
eeg_Delta_Central_lateralization,0.006718191103352611
eeg_Beta_Occipital_lateralization,0.0065929855100761
eeg_Alpha_Occipital_lateralization,0.006541646252924916
eeg_Beta_Parietal_std,0.006537736586816843
eeg_Theta_Central_mean,0.006510770753836813
eeg_Delta_Parietal_lateralization,0.006327859990463996
eeg_Theta_Occipital_slope,0.006201171871369702
eeg_Delta_Central_mean,0.006192403149952808
eeg_Theta_Central,0.006059593366062959
eeg_Alpha_Central_lateralization,0.005884230811349265
eeg_Theta_Occipital_lateralization,0.005838087771387629
eeg_Delta_Central_std,0.0057631998355480735
eeg_Beta_Frontal_slope,0.00563344250244507
eeg_Alpha_Frontal_std,0.0055576327775588965
eeg_Delta_Frontal_std,0.005406632356606591
eeg_Theta_Parietal_std,0.0053641612889391965
eeg_Theta_Frontal_std,0.005309261299823951
eeg_Delta_Occipital_slope,0.005296381969094125
eeg_Theta_Occipital,0.0052335027479185935
eeg_Alpha_Parietal_std,0.005160495876930475
eeg_Theta_Parietal_slope,0.005145320240653139
eeg_Delta_Central_slope,0.005125857058762947
eeg_Theta_Central_std,0.0049733511915993145
eeg_Delta_Frontal_slope,0.004869373526909846
eeg_Theta_Central_slope,0.0047732220374418766
eeg_Alpha_Central_std,0.0046640370892973085
eeg_Theta_Occipital_mean,0.004579737768082033
eeg_Theta_Frontal_slope,0.004557842422110399
eeg_Delta_Occipital_std,0.0044410908297623525
eeg_Delta_Occipital_mean,0.0043836116175556055
eeg_Delta_Parietal_slope,0.003602703652045774
eeg_Theta_Occipital_std,0.0035133457412214126
