Feature,Importance
eeg_Beta_Central,0.12155983203615991
eeg_Beta_Frontal,0.0857743708078604
eeg_Beta_Parietal,0.08030188373751086
eeg_Beta_Occipital,0.07845270064293719
eeg_Delta_Parietal,0.06821088576749308
eeg_Delta_Central,0.06802244572669394
eeg_Alpha_Occipital,0.060774335532179175
eeg_Alpha_Frontal,0.05942432587485436
eeg_Theta_Frontal,0.05841279769003138
eeg_Delta_Occipital,0.05560514496488597
eeg_Alpha_Parietal,0.04856048115637768
eeg_Theta_Parietal,0.04826229017311044
eeg_Theta_Central,0.044756190334205
eeg_Alpha_Central,0.043900565762286466
eeg_Delta_Frontal,0.042706922815115796
eeg_Theta_Occipital,0.035274826978298396
