Feature,Importance
eeg_Beta_P4,0.03963560715407889
eeg_Beta_F7,0.03413259199509619
eeg_Beta_C4,0.03263665269357221
eeg_Beta_P3,0.025342352631415453
eeg_Theta_F7,0.022352776490501946
eeg_Beta_Central,0.022273433405160945
eeg_Alpha_F4,0.021977579404028787
eeg_Delta_T5,0.02181920551329494
eeg_Alpha_P3,0.02092840025409953
eeg_Alpha_Fz,0.018797084476669394
eeg_Beta_F3,0.0183259838056323
eeg_Theta_T5,0.01785821538934651
eeg_Alpha_T5,0.01767840964079636
eeg_Alpha_F7,0.017380699737629235
eeg_Beta_POz,0.016289875522843243
eeg_Delta_F7,0.01607766356177248
eeg_Beta_F4,0.015532558120530445
eeg_Theta_P3,0.014776362581469995
eeg_Beta_Fz,0.014776147186252768
eeg_Beta_T3,0.01446887659264903
eeg_Beta_C3,0.014308979771260102
eeg_Beta_Frontal,0.013837636081348682
eeg_Beta_T5,0.013729083527716913
eeg_Beta_Pz,0.01372610273207798
eeg_Beta_Fp2,0.01304884066314125
eeg_Beta_T4,0.012503725894803216
eeg_Beta_Cz,0.012382382740400454
eeg_Theta_P4,0.012160639579689004
eeg_Beta_Parietal,0.012023169633797815
eeg_Alpha_T6,0.011477331947988683
eeg_Theta_C4,0.010771078275341397
eeg_Alpha_Fp2,0.010441259809037323
eeg_Delta_C4,0.010004917336757941
eeg_Alpha_Occipital,0.009931451029554355
eeg_Delta_Parietal,0.009895919984259843
eeg_Beta_F8,0.009873744904598296
eeg_Alpha_POz,0.009816268541969573
eeg_Alpha_Parietal,0.009463207231308151
eeg_Alpha_Fp1,0.009275842733734134
eeg_Alpha_Frontal,0.00926927749442979
eeg_Theta_F4,0.009106479636076917
eeg_Beta_Occipital,0.009102693444235789
eeg_Alpha_O1,0.008868096106744872
eeg_Beta_O1,0.008849684504000107
eeg_Delta_Fp1,0.00881092741494605
eeg_Beta_T6,0.00874924018298192
eeg_Delta_Central,0.008738613148720507
eeg_Alpha_C4,0.008619129584611859
eeg_Delta_Cz,0.007969595730156145
eeg_Delta_P4,0.007966639660660482
eeg_Delta_F4,0.00792144467762166
eeg_Beta_Fp1,0.007708382157729713
eeg_Theta_T3,0.007658433237545989
eeg_Theta_F3,0.00733697789961041
eeg_Theta_Fp1,0.007248926882385151
eeg_Theta_Pz,0.007235244313528549
eeg_Delta_T3,0.00691845413204288
eeg_Delta_T6,0.006892236191173124
eeg_Delta_C3,0.006865779593920132
eeg_Theta_Parietal,0.006843282013194638
eeg_Alpha_O2,0.006688627222140017
eeg_Theta_Central,0.006575813189241849
eeg_Alpha_F3,0.006325471289875281
eeg_Beta_O2,0.006168378381213248
eeg_Alpha_P4,0.006147496240602507
eeg_Theta_O1,0.006111522744768106
eeg_Alpha_C3,0.006075413871563328
eeg_Delta_O1,0.006025101533517334
eeg_Delta_Occipital,0.0060158575687556
eeg_Delta_O2,0.00597021930233435
eeg_Delta_F3,0.005885212438452527
eeg_Theta_POz,0.005807427551074252
eeg_Theta_Cz,0.005664305310125756
eeg_Theta_Frontal,0.005620051432552106
eeg_Delta_P3,0.005478818632094802
eeg_Theta_Fz,0.005428742317169916
eeg_Alpha_Pz,0.00542656084913936
eeg_Alpha_F8,0.005405351902034577
eeg_Theta_T4,0.005323158633680318
eeg_Theta_O2,0.005266231089826099
eeg_Theta_Fp2,0.0052562051170207385
eeg_Delta_POz,0.005204963195114137
eeg_Alpha_T4,0.005068890245712994
eeg_Delta_T4,0.005050807825852742
eeg_Delta_Fz,0.004913969815057866
eeg_Alpha_Central,0.004891240878473094
eeg_Delta_Pz,0.00486316749816098
eeg_Theta_T6,0.0047349884570252855
eeg_Delta_Fp2,0.0045213361688844576
eeg_Theta_F8,0.004440133674745593
eeg_Theta_Occipital,0.004372082871009397
eeg_Delta_Frontal,0.004273261829315307
eeg_Theta_C3,0.0039865671068897105
eeg_Alpha_T3,0.003649865410241079
eeg_Delta_F8,0.0036299047779442565
eeg_Alpha_Cz,0.0033212570464485514
