EEG Strategy,N EEG Features,Method,Accuracy,Accuracy SEM,EEG Weight
L0: channels_raw,20,Weighted,0.7477126232892615,0.014488309697504514,0.47575471572787986
L0: channels_raw,20,Stacking,0.7174002765333708,0.014536238923539,
L1: regional_raw,4,Weighted,0.7469200166093657,0.014477266580220957,0.4082058554402715
L1: regional_raw,4,Stacking,0.718910755082881,0.014614174663428481,
L2: channels_bands,80,Weighted,0.7478915748396788,0.014461944282908288,0.6655812975747895
L2: channels_bands,80,Stacking,0.7174916057798987,0.014554141436680058,
L3: regional_bands,16,Weighted,0.7477349318782878,0.014438962945870151,0.47127612527955176
L3: regional_bands,16,Stacking,0.7166372162325416,0.014515758052310023,
L4: extended,160,Weighted,0.7478266193374752,0.014436250092109486,0.8889093980249292
L4: extended,160,Stacking,0.7172165022151186,0.014536303554442388,
