Feature,Importance
eeg_Beta_Parietal,0.09710553347740258
eeg_Beta_Frontal,0.0894318397224926
eeg_Beta_Occipital,0.08648152703253925
eeg_Theta_Frontal,0.0797579547361518
eeg_Beta_Central,0.07407796172025269
eeg_Alpha_Central,0.06469595537048403
eeg_Alpha_Frontal,0.06345596791751731
eeg_Theta_Central,0.0598928249575448
eeg_Delta_Frontal,0.05975811340978114
eeg_Delta_Central,0.05857947040996654
eeg_Theta_Parietal,0.05130910766955381
eeg_Alpha_Parietal,0.0484098469591477
eeg_Alpha_Occipital,0.0452121065705836
eeg_Delta_Occipital,0.045116679734587085
eeg_Delta_Parietal,0.04401175744020178
eeg_Theta_Occipital,0.03270335287179324
