Seed,Accuracy,Accuracy_SEM,Accuracy_SD,F1_Score,N_Subjects,Behavior_Weight,Gaze_Weight,Physiology_Weight,EEG_Weight
42,0.7287921100779055,0.015099438445518594,0.13505348314501334,0.7727596017069701,80,0.5453022180593341,0.330504648896339,0.08977901025704998,0.034414122787277
123,0.7245289488488552,0.015381708151271394,0.13757818014522183,0.7676043719763483,80,0.5447761385828006,0.382823808715686,0.07043814206818326,0.0019619106333301013
456,0.7237653691845625,0.015450931444653369,0.13819733210373586,0.7677327139539039,80,0.5868117975747985,0.3280400882811717,0.0674746246782083,0.017673489465821555
789,0.7254740118938316,0.015239502009361767,0.1363062497447102,0.7689421015010722,80,0.5255950891732731,0.41177593444509125,0.04782073454398289,0.014808241837652676
1024,0.7265244196208841,0.015321838330414748,0.13704268818827706,0.7704377284478916,80,0.553622153565824,0.3608203351729843,0.08376780840573766,0.0017897028554540396
2048,0.7251512641181384,0.015352777675614486,0.13731941810446083,0.7691896228938219,80,0.6033476194530809,0.3281467326995291,0.026090476262536366,0.04241517158485353
3141,0.7242605555185329,0.015287953880788692,0.13673961645730093,0.7688746438746439,80,0.5604824826575641,0.36646023643664977,0.062284794412861534,0.01077248649292479
5678,0.7232228855858038,0.015451905691233154,0.13820604603005285,0.7673753796676791,80,0.5369745764880871,0.3239700337090173,0.11530035279540454,0.023755037007491132
8888,0.7251550528173949,0.015077683284759351,0.13485889907173693,0.7689011871820048,80,0.5953289588463614,0.3753628282873088,0.013639685344118316,0.015668527522211376
9999,0.7244994012895676,0.014953240583130377,0.13374584971115247,0.7692033505613972,80,0.6485953438012388,0.34058621186842314,0.008721152874857056,0.0020972914554810373
