signature,beta_visit,se,z,p,n,sig
rt_mean,-0.34286690458409486,0.07576382780602343,-4.525469666896054,6.0261524734576585e-06,63,***
ambiguity_aversion,-0.12873413632615435,0.03846096978926324,-3.347137033504853,0.0008165083700436043,63,***
log_odds_invest,0.4543106654172647,0.33328987546540123,1.3631097097770275,0.1728479370989039,63,
fixation_ratio,-0.002291143545494671,0.0017339660849380275,-1.3213312332902734,0.18639094410725632,63,
invest_rate,0.04461414472764693,0.03526661161484684,1.2650533375558224,0.20585220847723784,63,
rt_cv,-0.007515967650144093,0.008345281790930572,-0.900624788765341,0.3677878500304771,63,
pupil_cv,-0.3183525046541146,0.5147182080948677,-0.6184986263307768,0.536246703024284,63,
ev_sensitivity,0.030037555958599735,0.04977568891303511,0.6034583672177681,0.5462038036291741,59,
pupil_mean,0.016643307424184392,0.028419385889787378,0.5856321979907818,0.5581227062998056,63,
saccade_count,0.12103751658271332,0.2241060315392024,0.5400904016344624,0.5891346897313371,63,
choice_momentum,0.0026731848420462776,0.024090192299984752,0.11096569129703335,0.91164355304749,59,
