coalition,n_modalities,accuracy
(empty),0,0.5
Behavior,1,0.709308064151507
Gaze,1,0.6229909035162172
EEG,1,0.567478183826837
Physio,1,0.513217692169811
"Behavior, Gaze",2,0.7177538159054324
"Behavior, Physio",2,0.6968726159824343
"Behavior, EEG",2,0.6917008569205227
"EEG, Gaze",2,0.6193344439252673
"Gaze, Physio",2,0.6143611941198006
"EEG, Physio",2,0.5311543788338652
"Behavior, Gaze, Physio",3,0.7073591298190948
"Behavior, EEG, Gaze",3,0.7016971630890909
"Behavior, EEG, Physio",3,0.6900609455153083
"EEG, Gaze, Physio",3,0.6111246601771458
"Behavior, EEG, Gaze, Physio",4,0.7008481008541487
