coalition,n_modalities,accuracy
(empty),0,0.5
Behavior,1,0.7536117020498547
Gaze,1,0.6294334422977098
EEG,1,0.5754106258095767
Physio,1,0.513164556676762
"Behavior, Gaze",2,0.7557709459229065
"Behavior, Physio",2,0.7233264108280512
"Behavior, EEG",2,0.7222508263233485
"EEG, Gaze",2,0.6227177454492263
"Gaze, Physio",2,0.6136195875017496
"EEG, Physio",2,0.5211785007446057
"Behavior, EEG, Gaze",3,0.7394379871581204
"Behavior, Gaze, Physio",3,0.7371743943577518
"Behavior, EEG, Physio",3,0.7186251197721301
"EEG, Gaze, Physio",3,0.6179080680281894
"Behavior, EEG, Gaze, Physio",4,0.7388378036763028
