coalition,n_modalities,accuracy
(empty),0,0.5
Behavior,1,0.6730922563538234
Gaze,1,0.6323815536466882
Physio,1,0.5831216184008426
EEG,1,0.5742250136948449
"Behavior, Gaze",2,0.7056674641446898
"Behavior, Physio",2,0.6679434661953807
"Behavior, EEG",2,0.6582457192556653
"Gaze, Physio",2,0.6492068586197387
"EEG, Gaze",2,0.6449983315863372
"EEG, Physio",2,0.5759120971593641
"Behavior, EEG, Gaze",3,0.6950778100877788
"Behavior, Gaze, Physio",3,0.6944883165739981
"Behavior, EEG, Physio",3,0.6581352779223772
"EEG, Gaze, Physio",3,0.642103433962698
"Behavior, EEG, Gaze, Physio",4,0.6906896257263004
