coalition,n_modalities,accuracy
(empty),0,0.5
EEG,1,0.6955685387319814
Gaze,1,0.6798435277690713
Behavior,1,0.6538523832800828
Physio,1,0.5526107035495522
"Behavior, Gaze",2,0.7199558511651203
"Gaze, Physio",2,0.6894686607676578
"EEG, Gaze",2,0.6843093002401209
"Behavior, Physio",2,0.6632515424762899
"Behavior, EEG",2,0.6530287534320627
"EEG, Physio",2,0.5828088770203669
"Behavior, Gaze, Physio",3,0.7288319009879158
"Behavior, EEG, Gaze",3,0.7060686724236871
"EEG, Gaze, Physio",3,0.7040192136680453
"Behavior, EEG, Physio",3,0.6694315001175811
"Behavior, EEG, Gaze, Physio",4,0.7291026934231504
