coalition,n_modalities,accuracy
(empty),0,0.5
Behavior,1,0.6817127136344718
Gaze,1,0.6294233322992568
EEG,1,0.5966993705821814
Physio,1,0.5198248371119093
"Behavior, Gaze",2,0.7200487547645096
"Behavior, EEG",2,0.6736185199887106
"Behavior, Physio",2,0.6648410320529177
"Gaze, Physio",2,0.6215367819302674
"EEG, Gaze",2,0.6184467579573141
"EEG, Physio",2,0.5539417539089279
"Behavior, EEG, Gaze",3,0.7047261491007932
"Behavior, Gaze, Physio",3,0.6983886625056352
"Behavior, EEG, Physio",3,0.6709114157492199
"EEG, Gaze, Physio",3,0.6176860378634961
"Behavior, EEG, Gaze, Physio",4,0.6915794339593185
