coalition,n_modalities,accuracy
(empty),0,0.5
Behavior,1,0.6671917660987929
Gaze,1,0.647463012578282
EEG,1,0.5592695521569049
Physio,1,0.5453457703029564
"Behavior, Gaze",2,0.7030975642898856
"Behavior, Physio",2,0.6691237252495427
"Behavior, EEG",2,0.6634655057090081
"Gaze, Physio",2,0.6451748693830293
"EEG, Gaze",2,0.6389557981456939
"EEG, Physio",2,0.5481083399698023
"Behavior, EEG, Gaze",3,0.7037020396236924
"Behavior, Gaze, Physio",3,0.693307499982061
"Behavior, EEG, Physio",3,0.6736171794043676
"EEG, Gaze, Physio",3,0.6333781933533289
"Behavior, EEG, Gaze, Physio",4,0.696705575031355
