feature,mean_abs_shap,ambiguity
eeg_Beta_Central,0.010048626410529808,Low
eeg_Beta_Parietal,0.0096564918945142,Low
eeg_Beta_Frontal,0.008994378590460702,Low
eeg_Alpha_Frontal,0.007124112425648176,Low
eeg_Delta_Central,0.006521259104432823,Low
eeg_Alpha_Parietal,0.006103195217089111,Low
eeg_Theta_Central,0.0060472987611229585,Low
eeg_Alpha_Occipital,0.00587648530391899,Low
eeg_Alpha_Central,0.00530400868554165,Low
eeg_Beta_Occipital,0.004529043669101592,Low
eeg_Theta_Occipital,0.004469455543803421,Low
eeg_Theta_Parietal,0.004202851066099641,Low
eeg_Delta_Frontal,0.004088989895517942,Low
eeg_Delta_Parietal,0.003690938123386988,Low
eeg_Theta_Frontal,0.0036726055696072925,Low
eeg_Delta_Occipital,0.0028864872049534866,Low
eeg_Delta_Central,0.013208373949976596,Medium
eeg_Beta_Occipital,0.012812366856444346,Medium
eeg_Beta_Parietal,0.012390134246598537,Medium
eeg_Theta_Frontal,0.011361900083519632,Medium
eeg_Beta_Frontal,0.01022192104582107,Medium
eeg_Beta_Central,0.009965126578446348,Medium
eeg_Delta_Frontal,0.009475236820748658,Medium
eeg_Theta_Central,0.007476674896969253,Medium
eeg_Alpha_Occipital,0.007357178643026348,Medium
eeg_Theta_Parietal,0.007089709788027292,Medium
eeg_Theta_Occipital,0.00687083769752138,Medium
eeg_Alpha_Frontal,0.006688142462599929,Medium
eeg_Alpha_Parietal,0.006556413919868851,Medium
eeg_Delta_Parietal,0.005950228848762819,Medium
eeg_Alpha_Central,0.004896105625047882,Medium
eeg_Delta_Occipital,0.004460930042019901,Medium
eeg_Beta_Frontal,0.016474326275872215,High
eeg_Beta_Central,0.01600276303623225,High
eeg_Theta_Parietal,0.01574301066934305,High
eeg_Alpha_Central,0.012065485920800261,High
eeg_Delta_Frontal,0.011646421481604123,High
eeg_Beta_Occipital,0.010918162483906778,High
eeg_Beta_Parietal,0.010590161519205976,High
eeg_Theta_Frontal,0.010403260139976065,High
eeg_Theta_Central,0.009733727435593927,High
eeg_Delta_Central,0.007410885365122986,High
eeg_Delta_Parietal,0.006500818788083156,High
eeg_Alpha_Frontal,0.006152345399912666,High
eeg_Theta_Occipital,0.006149915553044321,High
eeg_Delta_Occipital,0.004471468304202995,High
eeg_Alpha_Parietal,0.002808933983623565,High
eeg_Alpha_Occipital,0.0027190578664236247,High
