feature,mean_abs_shap,rt_group
eeg_Beta_Occipital,0.012870680013701227,Fast
eeg_Beta_Parietal,0.010008705427765774,Fast
eeg_Theta_Central,0.009279482993442138,Fast
eeg_Alpha_Occipital,0.009060240761733606,Fast
eeg_Beta_Frontal,0.008524336914663947,Fast
eeg_Beta_Central,0.007458801579953392,Fast
eeg_Alpha_Frontal,0.006736291049487835,Fast
eeg_Theta_Occipital,0.005647212637205138,Fast
eeg_Theta_Parietal,0.005472178816069719,Fast
eeg_Alpha_Parietal,0.004476720417197411,Fast
eeg_Delta_Frontal,0.0042377019909852496,Fast
eeg_Theta_Frontal,0.0039153484846727385,Fast
eeg_Alpha_Central,0.0037571100349823587,Fast
eeg_Delta_Occipital,0.003210453819984945,Fast
eeg_Delta_Parietal,0.002548679475796345,Fast
eeg_Delta_Central,0.0023173511619747197,Fast
eeg_Beta_Central,0.008708607297103698,Slow
eeg_Beta_Frontal,0.008500402284953511,Slow
eeg_Alpha_Central,0.007497825167517454,Slow
eeg_Beta_Occipital,0.006901543369349693,Slow
eeg_Delta_Central,0.005683009008478606,Slow
eeg_Theta_Frontal,0.004968144766606979,Slow
eeg_Theta_Central,0.004709590123562682,Slow
eeg_Delta_Frontal,0.004393611749548786,Slow
eeg_Alpha_Occipital,0.004232997719821119,Slow
eeg_Alpha_Parietal,0.004050390944193738,Slow
eeg_Beta_Parietal,0.0038392427647928637,Slow
eeg_Delta_Occipital,0.0036813811683589093,Slow
eeg_Theta_Parietal,0.0030517136357977323,Slow
eeg_Alpha_Frontal,0.003005042816237501,Slow
eeg_Theta_Occipital,0.0030036888170316576,Slow
eeg_Delta_Parietal,0.00280396320791647,Slow
