feature,mean_abs_shap,ambiguity
gaze_x_std,0.043373351869534144,Low
gaze_dispersion_x,0.03576352135763357,Low
gaze_path_length,0.0352584289645717,Low
gaze_x_mean,0.032700145899269256,Low
screen_x_std,0.02669691708862647,Low
gaze_acceleration_std,0.0189524856812758,Low
screen_y_mean,0.01794700267718549,Low
gaze_y_mean,0.017334829592535097,Low
gaze_acceleration_mean,0.015357243445490281,Low
gaze_dispersion_y,0.0078035250842594765,Low
screen_y_std,0.007544661045307696,Low
screen_x_mean,0.007344857517643137,Low
gaze_velocity_mean,0.004454735500125985,Low
gaze_velocity_max,0.004236545550259499,Low
gaze_y_std,0.004115407078991584,Low
gaze_velocity_std,0.0034493137041910634,Low
saccade_ratio,0.0008057757672074913,Low
fixation_ratio,0.0005296396443658177,Low
saccade_count,0.00015696327085110333,Low
gaze_valid_pct,0.0,Low
gaze_x_mean,0.04068339277752952,Medium
gaze_x_std,0.03299885837193725,Medium
screen_x_std,0.026746558747952523,Medium
gaze_path_length,0.01880965680121697,Medium
screen_x_mean,0.01787623519147343,Medium
gaze_dispersion_x,0.014555207712561271,Medium
screen_y_mean,0.012674195538806736,Medium
gaze_y_mean,0.008689688809829798,Medium
gaze_acceleration_std,0.007472108993081182,Medium
gaze_y_std,0.00701975347162749,Medium
gaze_acceleration_mean,0.005778947324541536,Medium
gaze_velocity_mean,0.005362485848611457,Medium
gaze_velocity_max,0.003998777716689571,Medium
gaze_dispersion_y,0.0033587834607151515,Medium
screen_y_std,0.0031812977682380054,Medium
gaze_velocity_std,0.0023593593803558975,Medium
saccade_ratio,0.0009342732302775647,Medium
fixation_ratio,0.0005598882992969012,Medium
saccade_count,0.00025108784940737364,Medium
gaze_valid_pct,0.0,Medium
gaze_x_mean,0.041634856545056144,High
gaze_dispersion_x,0.03751766667930336,High
gaze_x_std,0.02547125751482846,High
screen_x_std,0.021671028166642882,High
gaze_y_mean,0.0135058393128614,High
gaze_path_length,0.010705536172540886,High
screen_x_mean,0.008800894182466932,High
gaze_velocity_max,0.006229518354107473,High
screen_y_mean,0.005788477525330085,High
gaze_dispersion_y,0.005475324452936554,High
gaze_velocity_mean,0.005453508532763761,High
gaze_acceleration_std,0.005338901863670955,High
gaze_y_std,0.004142023081087503,High
gaze_acceleration_mean,0.0036698627464534644,High
screen_y_std,0.0031842742905610383,High
gaze_velocity_std,0.002753521677742959,High
saccade_ratio,0.0002809589928736586,High
fixation_ratio,0.0002336933633670276,High
saccade_count,0.00012784176441210885,High
gaze_valid_pct,0.0,High
