feature,mean_abs_shap,rt_group
gaze_x_std,0.05181016756850797,Fast
gaze_dispersion_x,0.036551725958460436,Fast
gaze_x_mean,0.035134293587565014,Fast
screen_x_std,0.030915093522900998,Fast
gaze_acceleration_std,0.017287733412953865,Fast
gaze_path_length,0.016528449528183553,Fast
screen_y_std,0.012930458694007253,Fast
screen_y_mean,0.011334827004501356,Fast
gaze_dispersion_y,0.011260694952022593,Fast
screen_x_mean,0.010890268798844837,Fast
gaze_acceleration_mean,0.010764957666149069,Fast
gaze_y_mean,0.008717805969119297,Fast
gaze_velocity_max,0.007928461323700056,Fast
gaze_y_std,0.006764294116968152,Fast
gaze_velocity_std,0.005570279377925839,Fast
gaze_velocity_mean,0.00317033096317423,Fast
saccade_ratio,0.00039626159055749165,Fast
fixation_ratio,0.0003498151572415295,Fast
saccade_count,8.189248536613671e-05,Fast
gaze_valid_pct,0.0,Fast
gaze_x_mean,0.03948856811067677,Slow
screen_x_std,0.030133825958443945,Slow
gaze_x_std,0.029941883907849277,Slow
gaze_path_length,0.015750332976515062,Slow
screen_y_std,0.01346352637391212,Slow
gaze_dispersion_x,0.01145043537608306,Slow
screen_x_mean,0.009817592326361738,Slow
gaze_y_mean,0.009267912045445553,Slow
gaze_y_std,0.006754772635311185,Slow
gaze_dispersion_y,0.005413704467177649,Slow
gaze_velocity_mean,0.005368977315182497,Slow
gaze_acceleration_mean,0.0032328861907631023,Slow
screen_y_mean,0.0032281809497262293,Slow
gaze_acceleration_std,0.0024770911236931302,Slow
gaze_velocity_std,0.0023468488877791717,Slow
gaze_velocity_max,0.001874213528172203,Slow
saccade_ratio,0.0003927199633212708,Slow
fixation_ratio,0.0003198293516986557,Slow
saccade_count,0.00020340291313644625,Slow
gaze_valid_pct,0.0,Slow
