feature,mean_abs_shap,ambiguity
pct_time_dilating_pre,0.03148218200176255,Low
pupil_std_pre,0.019535409543545514,Low
pupil_slope_pre,0.01729594104978528,Low
time_to_peak_pre,0.009509651804561066,Low
pupil_cv_pre,0.008783601845825726,Low
pupil_max_constriction_rate_pre,0.008651889540215353,Low
eye_asymmetry_pre,0.008353392961593048,Low
pupil_velocity_mean_pre,0.007814240473907856,Low
pupil_max_dilation_rate_pre,0.006636109831672108,Low
eye_asymmetry_std_pre,0.005314742574661493,Low
pupil_mean_pre,0.0053108975884617856,Low
pupil_acceleration_std_pre,0.005274894838385619,Low
num_dilation_peaks_pre,0.0017352382458078854,Low
pupil_slope_pre,0.034863100974639016,Medium
pupil_cv_pre,0.018207871590178608,Medium
pupil_max_dilation_rate_pre,0.014948320538682171,Medium
pupil_std_pre,0.009359297746076706,Medium
pct_time_dilating_pre,0.008340100879866742,Medium
time_to_peak_pre,0.006069444690822476,Medium
pupil_velocity_mean_pre,0.005231302735472495,Medium
eye_asymmetry_std_pre,0.004219273137611987,Medium
pupil_acceleration_std_pre,0.004101984012074432,Medium
eye_asymmetry_pre,0.004050373479667659,Medium
pupil_max_constriction_rate_pre,0.0034764464666707617,Medium
pupil_mean_pre,0.0033813061083280216,Medium
num_dilation_peaks_pre,0.002411803624264712,Medium
pupil_slope_pre,0.04487586791958331,High
pupil_std_pre,0.025802144286979543,High
pupil_max_dilation_rate_pre,0.00965266604012974,High
time_to_peak_pre,0.00962225430867519,High
pupil_velocity_mean_pre,0.007705822533291722,High
pupil_mean_pre,0.007199825531278948,High
pupil_max_constriction_rate_pre,0.007185304273759672,High
pupil_acceleration_std_pre,0.006716937175311195,High
pct_time_dilating_pre,0.0064870205913269766,High
pupil_cv_pre,0.006209174672351943,High
num_dilation_peaks_pre,0.005680350146239828,High
eye_asymmetry_std_pre,0.004725174470455974,High
eye_asymmetry_pre,0.003792110325876729,High
