feature,mean_abs_shap,rt_group
pupil_slope_pre,0.0379197289968733,Fast
pupil_std_pre,0.030171215818450156,Fast
pupil_max_dilation_rate_pre,0.017188695339305532,Fast
pct_time_dilating_pre,0.01229547615005152,Fast
time_to_peak_pre,0.010433995303758815,Fast
pupil_max_constriction_rate_pre,0.007257893134334994,Fast
pupil_cv_pre,0.0070206098208457236,Fast
eye_asymmetry_std_pre,0.006682500513108889,Fast
pupil_velocity_mean_pre,0.006038854760652171,Fast
eye_asymmetry_pre,0.0058140745563721565,Fast
pupil_acceleration_std_pre,0.005201649694922808,Fast
pupil_mean_pre,0.004787285270911149,Fast
num_dilation_peaks_pre,0.0012497046018712335,Fast
pct_time_dilating_pre,0.013303690193737816,Slow
pupil_slope_pre,0.00914327146490199,Slow
pupil_std_pre,0.007066437382788442,Slow
pupil_max_constriction_rate_pre,0.006868563122243732,Slow
pupil_cv_pre,0.006367658478014918,Slow
pupil_velocity_mean_pre,0.004860209792269062,Slow
time_to_peak_pre,0.00461932744537321,Slow
pupil_max_dilation_rate_pre,0.003841087254088646,Slow
pupil_mean_pre,0.0038142712507367223,Slow
eye_asymmetry_pre,0.0033889616771501253,Slow
pupil_acceleration_std_pre,0.0028647250072680033,Slow
eye_asymmetry_std_pre,0.0023652909993108315,Slow
num_dilation_peaks_pre,0.0007087040655852773,Slow
