feature,feature_full,invest_mean,keep_mean,difference,t_statistic,p_value,cohens_d,abs_cohens_d,significant,significant_bonferroni,modality
pupil_slope,pupil_slope_pre,-0.7527705691881651,-0.3980102460617257,-0.3547603231264394,-17.656323180634445,6.223602248004149e-69,-0.33286561997055525,0.33286561997055525,True,True,pupil
pupil_std,pupil_std_pre,0.653087459678937,0.5528836379160564,0.10020382176288056,13.954634725775167,6.289923512308162e-44,0.26307958298772377,0.26307958298772377,True,True,pupil
pct_time_dilating,pct_time_dilating_pre,0.49088236624156095,0.5149286858965556,-0.024046319654994652,-11.730201377852351,1.3064533064558464e-31,-0.22114348010467155,0.22114348010467155,True,True,pupil
time_to_peak,time_to_peak_pre,0.5689613432300183,0.7039285870057098,-0.13496724377569147,-10.512171407852536,9.719810259955386e-26,-0.19818058477483333,0.19818058477483333,True,True,pupil
num_dilation_peaks,num_dilation_peaks_pre,2.9819130857004126,3.196817224432483,-0.21490413873207048,-9.240154477332831,2.8552281019098793e-20,-0.1741999009224397,0.1741999009224397,True,True,pupil
pupil_velocity_mean,pupil_velocity_mean_pre,0.03363300830934455,0.0309303950468921,0.002702613262452448,8.838089663184345,1.1028187769111839e-18,0.16661997885935284,0.16661997885935284,True,True,pupil
pupil_max_constriction_rate,pupil_max_constriction_rate_pre,0.13283209598671908,0.12131775559981926,0.011514340386899816,7.372474324879303,1.7802892936631066e-13,0.13898948335741604,0.13898948335741604,True,True,pupil
pupil_mean,pupil_mean_pre,0.42953844241204414,0.39624608482742696,0.03329235758461718,5.671507862314751,1.4468172751982324e-08,0.10692203362180655,0.10692203362180655,True,True,pupil
pupil_acceleration_std,pupil_acceleration_std_pre,0.008144737293458068,0.00779127982637332,0.00035345746708474735,4.205410908457112,2.6242259994761184e-05,0.07928245846846875,0.07928245846846875,True,True,pupil
screen_y_mean,,0.48094476769125716,0.47401779307930125,0.006926974611955905,3.7206321067901857,0.00019959460576306204,0.0701431719525518,0.0701431719525518,True,True,gaze
gaze_dispersion_x,,0.26418705796359393,0.28457566849467153,-0.0203886105310776,-3.4734457827817726,0.0005155595290095016,-0.06548309475824966,0.06548309475824966,True,True,gaze
gaze_dispersion_y,,0.1403552619973254,0.15826652336080152,-0.017911261363476122,-2.8606987642074473,0.0042340877112370745,-0.05393128897534695,0.05393128897534695,True,False,gaze
gaze_velocity_max,,13.543444987100047,15.422986915013547,-1.8795419279135004,-2.695639196640087,0.00703476630970143,-0.050819505467065755,0.050819505467065755,True,False,gaze
pupil_max_dilation_rate,pupil_max_dilation_rate_pre,0.06288295957412912,0.06500481517042019,-0.002121855596291064,-1.9755700337096875,0.04822543941587091,-0.037244410251126604,0.037244410251126604,True,False,pupil
gaze_x_std,,0.15801152120864304,0.15988310832828287,-0.0018715871196398337,-1.9403133065270233,0.0523640675331087,-0.03657973322682621,0.03657973322682621,False,False,gaze
screen_x_mean,,0.5028127680873615,0.5052480762232111,-0.0024353081358495787,-1.939214620286157,0.05249766744762411,-0.036559020257711544,0.036559020257711544,False,False,gaze
screen_x_std,,0.06954738729588958,0.07073702780218762,-0.001189640506298037,-1.2728937833306362,0.20307939201848607,-0.023997214709443996,0.023997214709443996,False,False,gaze
gaze_velocity_mean,,0.6275453750602816,0.5884854919888853,0.039059883071396295,1.2523680055743254,0.21045921259960138,0.023610252731667898,0.023610252731667898,False,False,gaze
fixation_ratio,,0.997509788682456,0.9977893256546246,-0.00027953697216864803,-1.252273006224649,0.2104938139203163,-0.02360846175757305,0.02360846175757305,False,False,gaze
saccade_ratio,,0.0023968118036683567,0.00212614294205315,0.00027066886161520665,1.2403185755956232,0.2148808483180422,0.023383090998213018,0.023383090998213018,False,False,gaze
screen_y_std,,0.028686889241175757,0.029689280725125666,-0.0010023914839499097,-0.9811186551806914,0.3265532066664619,-0.018496527622443713,0.018496527622443713,False,False,gaze
gaze_y_std,,0.04510673031123052,0.04555230192671555,-0.00044557161548502977,-0.9702079496317249,0.3319616078156856,-0.01829083367757663,0.01829083367757663,False,False,gaze
gaze_acceleration_mean,,72.98981015799366,68.16787298806952,4.821937169924141,0.9392701947763057,0.34761017313648834,0.017707580027023762,0.017707580027023762,False,False,gaze
gaze_acceleration_std,,269.45769737047095,281.2560043528962,-11.798306982425231,-0.7154439743393828,0.4743481015936384,-0.013487898903769351,0.013487898903769351,False,False,gaze
gaze_x_mean,,0.0012355854857190294,0.0026934227751295036,-0.0014578372894104741,-0.6470387923925691,0.5176187099379193,-0.0121982910355299,0.0121982910355299,False,False,gaze
gaze_velocity_std,,2.1809009161727273,2.2503318003019026,-0.06943088412917531,-0.6310566527899057,0.5280150123295104,-0.011896987941285941,0.011896987941285941,False,False,gaze
eye_asymmetry,eye_asymmetry_pre,0.2912410625179776,0.29331656536767337,-0.002075502849695765,-0.46632382617341367,0.6409918470440602,-0.008791364312843143,0.008791364312843143,False,False,pupil
eye_asymmetry_std,eye_asymmetry_std_pre,0.31309495545725463,0.3109239999822878,0.002170955474966818,0.36115153247801746,0.7179922708775804,0.006808604913477334,0.006808604913477334,False,False,pupil
pupil_cv,pupil_cv_pre,3.4950538240521207,3.3227663595668466,0.1722874644852741,0.32546830863839504,0.7448321077304491,0.006135887366091728,0.006135887366091728,False,False,pupil
gaze_y_mean,,-0.1259269817480988,-0.1263463986653876,0.00041941691728880626,0.21563765286724068,0.8292737192289845,0.004065306251834831,0.004065306251834831,False,False,gaze
gaze_path_length,,1.108691283074817,1.1156275777275857,-0.006936294652768682,-0.1321741248286533,0.8948486927594129,-0.0024918110953819957,0.0024918110953819957,False,False,gaze
saccade_count,,0.36355911629036175,0.366721273110227,-0.0031621568198652583,-0.09796159317904006,0.9219643603768162,-0.001846819754783894,0.001846819754783894,False,False,gaze
gaze_valid_pct,,1.0,1.0,0.0,,,0.0,0.0,False,False,gaze
