feature,bin_idx,time_start,time_end,time_label,invest_mean,keep_mean,difference,t_statistic,p_value,cohens_d,abs_cohens_d,significant,significant_bonferroni
gaze_valid_pct,0,-2.0,-1.5,-2.0s to -1.5s,1.0,1.0,0.0,,,0.0,0.0,False,False
gaze_valid_pct,1,-1.5,-1.0,-1.5s to -1.0s,1.0,1.0,0.0,,,0.0,0.0,False,False
gaze_valid_pct,2,-1.0,-0.5,-1.0s to -0.5s,1.0,1.0,0.0,,,0.0,0.0,False,False
gaze_valid_pct,3,-0.5,0.0,-0.5s to 0.0s,1.0,1.0,0.0,,,0.0,0.0,False,False
gaze_x_mean,0,-2.0,-1.5,-2.0s to -1.5s,-0.013713348656892776,-0.007042871322482824,-0.006670477334409952,-1.2047216892242432,0.22843214869499207,-0.05344638600945473,0.05344638600945473,False,False
gaze_x_mean,1,-1.5,-1.0,-1.5s to -1.0s,-0.01155365351587534,-0.005335984285920858,-0.006217669229954481,-1.1220837831497192,0.26194149255752563,-0.0497802309691906,0.0497802309691906,False,False
gaze_x_mean,2,-1.0,-0.5,-1.0s to -0.5s,-0.016508201137185097,-0.00596123980358243,-0.010546961799263954,-1.8877300024032593,0.059185415506362915,-0.08374742418527603,0.08374742418527603,False,False
gaze_x_mean,3,-0.5,0.0,-0.5s to 0.0s,-0.01824626699090004,-0.002841481938958168,-0.015404785051941872,-2.6711082458496094,0.007612311746925116,-0.11850129812955856,0.11850129812955856,True,False
gaze_x_std,0,-2.0,-1.5,-2.0s to -1.5s,0.056293386965990067,0.056985631585121155,-0.0006922446191310883,-0.2555628716945648,0.7983106970787048,-0.01133781485259533,0.01133781485259533,False,False
gaze_x_std,1,-1.5,-1.0,-1.5s to -1.0s,0.05661055073142052,0.05962340161204338,-0.0030128508806228638,-1.0980160236358643,0.2723100185394287,-0.04871248081326485,0.04871248081326485,False,False
gaze_x_std,2,-1.0,-0.5,-1.0s to -0.5s,0.05972737446427345,0.06249400973320007,-0.0027666352689266205,-0.9784533977508545,0.3279506266117096,-0.04340819641947746,0.04340819641947746,False,False
gaze_x_std,3,-0.5,0.0,-0.5s to 0.0s,0.061054814606904984,0.058512356132268906,0.002542458474636078,0.8932908773422241,0.37179258465766907,0.03963003680109978,0.03963003680109978,False,False
gaze_y_mean,0,-2.0,-1.5,-2.0s to -1.5s,-0.1259111911058426,-0.11907771974802017,-0.006833471357822418,-1.4066082239151,0.15967588126659393,-0.06240289658308029,0.06240289658308029,False,False
gaze_y_mean,1,-1.5,-1.0,-1.5s to -1.0s,-0.12518472969532013,-0.11836318671703339,-0.006821542978286743,-1.4148985147476196,0.15723086893558502,-0.06277068704366684,0.06277068704366684,False,False
gaze_y_mean,2,-1.0,-0.5,-1.0s to -0.5s,-0.12295348197221756,-0.11906514316797256,-0.003888338804244995,-0.8112079501152039,0.4173281788825989,-0.03598850592970848,0.03598850592970848,False,False
gaze_y_mean,3,-0.5,0.0,-0.5s to 0.0s,-0.1255379617214203,-0.11582891643047333,-0.00970904529094696,-2.0684053897857666,0.03871115669608116,-0.09176292270421982,0.09176292270421982,True,False
gaze_y_std,0,-2.0,-1.5,-2.0s to -1.5s,0.03367868438363075,0.03651367127895355,-0.0028349868953227997,-1.7729052305221558,0.07637401670217514,-0.07865333557128906,0.07865333557128906,False,False
gaze_y_std,1,-1.5,-1.0,-1.5s to -1.0s,0.03585764765739441,0.03697558492422104,-0.0011179372668266296,-0.6431878209114075,0.5201647877693176,-0.02853444032371044,0.02853444032371044,False,False
gaze_y_std,2,-1.0,-0.5,-1.0s to -0.5s,0.037727631628513336,0.03639662638306618,0.0013310052454471588,0.7580938339233398,0.4484706223011017,0.03363214433193207,0.03363214433193207,False,False
gaze_y_std,3,-0.5,0.0,-0.5s to 0.0s,0.036744650453329086,0.03469611331820488,0.0020485371351242065,1.1929171085357666,0.23302234709262848,0.05292268097400665,0.05292268097400665,False,False
screen_x_mean,0,-2.0,-1.5,-2.0s to -1.5s,0.47134849429130554,0.4814980924129486,-0.010149598121643066,-1.9986058473587036,0.045766111463308334,-0.08866632729768753,0.08866632729768753,True,False
screen_x_mean,1,-1.5,-1.0,-1.5s to -1.0s,0.4666406512260437,0.4831049144268036,-0.016464263200759888,-3.2115986347198486,0.0013378309085965157,-0.14247965812683105,0.14247965812683105,True,False
screen_x_mean,2,-1.0,-0.5,-1.0s to -0.5s,0.46534213423728943,0.4838716387748718,-0.018529504537582397,-3.530035972595215,0.0004234976368024945,-0.15660682320594788,0.15660682320594788,True,True
screen_x_mean,3,-0.5,0.0,-0.5s to 0.0s,0.4677168130874634,0.4750247895717621,-0.007307976484298706,-1.3411110639572144,0.18001410365104675,-0.059497177600860596,0.059497177600860596,False,False
screen_x_std,0,-2.0,-1.5,-2.0s to -1.5s,0.06216937303543091,0.06695427000522614,-0.004784896969795227,-0.895266056060791,0.37073636054992676,-0.0397176668047905,0.0397176668047905,False,False
screen_x_std,1,-1.5,-1.0,-1.5s to -1.0s,0.07021129876375198,0.06591935455799103,0.004291944205760956,0.7574384808540344,0.44886282086372375,0.03360306844115257,0.03360306844115257,False,False
screen_x_std,2,-1.0,-0.5,-1.0s to -0.5s,0.07447252422571182,0.06625159829854965,0.00822092592716217,1.4149562120437622,0.1572139412164688,0.06277324259281158,0.06277324259281158,False,False
