modality,feature,invest_mean,invest_std,keep_mean,keep_std,difference,t_statistic,p_value,cohens_d,abs_cohens_d,n_invest,n_keep,significant_uncorrected,significant_bonferroni,significant_fdr
pupil,pupil_mean_pre,0.4439906770727194,0.3126736845658594,0.41188471069661375,0.3070899700090116,0.03210596637610563,5.41021722845297,6.414664027405897e-08,0.10331782330265124,0.10331782330265124,7910,4197,True,True,True
pupil,pupil_std_pre,0.6684195028522105,0.39520203597228604,0.5781181170708737,0.3399887767712174,0.09030138578133684,12.543404821303325,7.218312304652115e-36,0.23953886289915466,0.23953886289915466,7910,4197,True,True,True
pupil,pupil_slope_pre,-0.7643786527706921,1.1414310860635628,-0.4377118783945061,0.952277666229783,-0.32666677437618596,-15.84426502575816,5.617779293099658e-56,-0.3025747220800135,0.3025747220800135,7910,4197,True,True,True
pupil,time_to_peak_pre,0.5693574561527457,0.6599521413153544,0.6778622023127052,0.711180697274415,-0.10850474615995953,-8.378449849318491,5.952219660626307e-17,-0.16000156084851697,0.16000156084851697,7910,4197,True,True,True
pupil,pupil_cv_pre,3.3541958416694917,29.243050468446313,3.2970062957887443,19.623765022702408,0.05718954588074743,0.11382437270057169,0.9093789051912029,0.0021736810057025263,0.0021736810057025263,7910,4197,False,False,False
pupil,pupil_velocity_mean_pre,0.0341055413453266,0.016209144528514158,0.0317601465398269,0.015013040096172691,0.0023453948054996954,7.7708178427657675,8.426725468477198e-15,0.14839773541321163,0.14839773541321163,7910,4197,True,True,True
pupil,pupil_max_dilation_rate_pre,0.06273860526669157,0.05678510843654925,0.06521746787398858,0.0488685771230017,-0.0024788626072970027,-2.3961606978351653,0.016582907969869623,-0.045758995827692786,0.045758995827692786,7910,4197,True,False,True
pupil,pupil_max_constriction_rate_pre,0.13562602622398143,0.08158642180625876,0.12531858936738183,0.08106451151975347,0.0103074368565996,6.630317329500415,3.4919848411928846e-11,0.12661782796579352,0.12661782796579352,7910,4197,True,True,True
pupil,pupil_acceleration_std_pre,0.008186858394495719,0.004255553142515441,0.007881899914766524,0.004388222287278429,0.0003049584797291949,3.712011844709167,0.00020654038978540362,0.07088753883153696,0.07088753883153696,7910,4197,True,True,True
pupil,pct_time_dilating_pre,0.49167112004558367,0.11070791733793992,0.5134087122871689,0.10565413833472015,-0.021737592241585224,-10.444641373382291,1.9883319614040057e-25,-0.19945920215540797,0.19945920215540797,7910,4197,True,True,True
pupil,num_dilation_peaks_pre,2.954740834386852,1.22455372559535,3.1358112937812725,1.2222698767877471,-0.18107045939442035,-7.748005139806871,1.007825749708942e-14,-0.1479620858424388,0.1479620858424388,7910,4197,True,True,True
pupil,eye_asymmetry_pre,0.27925494441575166,0.21389764448675794,0.2808779949689892,0.19455081808798386,-0.0016230505532375261,-0.40979950604775844,0.681960280196794,-0.007825858217427418,0.007825858217427418,7910,4197,False,False,False
pupil,eye_asymmetry_std_pre,0.3013543538670456,0.30280427000240445,0.299805917826688,0.22260823814665992,0.001548436040357648,0.29204428450003966,0.7702577697422092,0.005577110586953689,0.005577110586953689,7910,4197,False,False,False
gaze,gaze_valid_pct,1.0,0.0,1.0,0.0,0.0,,,0.0,0.0,7910,4197,False,False,False
gaze,gaze_x_mean,0.005302112546129512,0.12189584435400899,0.008204500232525667,0.09071818998178262,-0.0029023876863961554,-1.356081268767242,0.17509860644540454,-0.025896809498459298,0.025896809498459298,7910,4197,False,False,False
gaze,gaze_x_std,0.16243243270551438,0.044368208562094696,0.18383820803024153,0.0419649712198139,-0.02140577532472715,-25.73833236688519,2.8105998761873243e-142,-0.491519723385885,0.491519723385885,7910,4197,True,True,True
gaze,gaze_y_mean,-0.12478438948250613,0.10180063767949185,-0.11909342229023182,0.09767547036774757,-0.005690967192274313,-2.9684891065449626,0.002998537696102469,-0.056688635600969484,0.056688635600969484,7910,4197,True,False,True
gaze,gaze_y_std,0.04898233440432008,0.025149388932428293,0.04833796670929987,0.023534016594727838,0.0006443676950202079,1.3715521417550962,0.1702283222875802,0.026192253628371607,0.026192253628371607,7910,4197,False,False,False
gaze,screen_x_mean,0.5002623120589659,0.07180504324744694,0.500100848082839,0.05961135704322019,0.00016146397612692986,0.12465581149084523,0.9007981116450677,0.0023805267998347076,0.0023805267998347076,7910,4197,False,False,False
gaze,screen_x_std,0.07309191736012384,0.05102542303161413,0.08213103721368246,0.04935436716768937,-0.009039119853558625,-9.381739434578265,7.636851993810417e-21,-0.17916117897736242,0.17916117897736242,7910,4197,True,True,True
