subject_id,full_model_accuracy,n_trials_x,invest_rate,behavior_accuracy,subject_invest_rate,rt_mean,rt_cv,rt_choice_diff,running_invest_rate_std,recent_invest_rate_std,choice_consistency,ambiguity_sensitivity,n_trials_y
0731_1000_U9TEJGM,0.453781512605042,119,0.5798319327731093,0.5462184873949579,0.5798319327731093,2.504531672268868,0.294929764196769,-0.22022122707231118,0.06898572100433885,0.20923086822987713,0.49658119658119654,0.5448717948717948,119
0802_1400_U9TEJGM,0.753968253968254,126,0.5158730158730159,0.753968253968254,0.5158730158730159,2.348849859523802,0.24853711060774075,-0.11797481909192564,0.06735334722170726,0.25216340828858935,0.4547893651693992,0.6699889258028793,126
0811_1000_4LI8GO7,0.6528925619834711,121,0.7768595041322314,0.6611570247933884,0.7768595041322314,3.1864700280989795,0.2313309437584741,-0.20532672793521956,0.08502937080007485,0.18105141348542098,0.5606088391710985,0.15156794425087106,121
0811_1000_U9TEJGM,0.7272727272727273,121,0.7024793388429752,0.7520661157024794,0.7024793388429752,1.9333077181816873,0.4068316035284646,-0.30015706614370696,0.11584751961273404,0.22912878474779202,0.6333333333333333,0.675,121
0813_1000_9M4VCHG,0.4796747967479675,123,0.5203252032520326,0.5528455284552846,0.5203252032520326,3.466851428454473,0.20951419173755145,-0.12813215288529278,0.08699774206585352,0.2705719826633211,0.4796747967479675,0.5609756097560975,123
0813_1000_U9TEJGM,0.514018691588785,107,0.6074766355140186,0.6542056074766355,0.6074766355140186,2.648117521495551,0.28031726644586336,0.011005961318493629,0.06197779135479506,0.20595191560119777,0.49689881268828634,0.6695906432748537,107
0816_1400_539136F,0.6796875,128,0.875,0.8046875,0.875,2.3025903320331054,0.21083754796946844,-0.5128878776771932,0.0694352989665194,0.13709719642464543,0.746031746031746,0.30952380952380953,128
0816_1400_9M4VCHG,0.5304347826086957,115,0.40869565217391307,0.4782608695652174,0.40869565217391307,2.3885250939130143,0.26045696972944893,-0.06949623485627443,0.13969797955416605,0.2520609178969342,0.1842401500938086,0.015384615384615385,115
0816_1400_U9TEJGM,0.408,125,0.696,0.576,0.696,2.7073982407972217,0.28998358136105057,-0.011999793916345869,0.08331714024582086,0.15697087828901377,0.39024390243902435,0.20034843205574915,125
0817_1000_539136F,0.49612403100775193,129,0.5736434108527132,0.5193798449612403,0.5736434108527132,2.4004797348833837,0.19344148743743422,-0.2236125898492407,0.054296022508347176,0.204599617412413,0.22057787174066243,0.2727272727272727,129
0817_1000_9M4VCHG,0.5390625,128,0.6484375,0.6015625,0.6484375,2.2774845359377878,0.23676024054942915,-0.009766341150432734,0.07160008895718072,0.17673628568092764,0.29581529581529575,0.11904761904761907,128
0817_1000_U9TEJGM,0.6814159292035398,113,0.6991150442477876,0.6814159292035398,0.6991150442477876,3.1503947159281593,0.22624794957797353,-0.4234095384246408,0.06920979733607394,0.20439449735556592,0.5254399195575666,0.4676470588235294,113
0818_1600_539136F,0.8257575757575758,132,0.6212121212121212,0.7727272727272727,0.6212121212121212,1.6058414893937658,0.2780037676330449,-0.13135684868291708,0.06630330825910943,0.21146531569369645,0.8181818181818182,0.7954545454545454,132
0818_1600_9M4VCHG,0.550561797752809,89,0.6629213483146067,0.7528089887640449,0.6629213483146067,2.7095263325849617,0.26448186190492295,-0.028594655255018253,0.08420875377592088,0.2160279735308847,0.6860805860805862,0.7005494505494506,89
0818_1600_U9TEJGM,0.7364341085271318,129,0.5271317829457365,0.7751937984496124,0.5271317829457365,1.9434522240317307,0.22033622926049334,0.20769175294043984,0.07681114590382093,0.21880036641772468,0.5813953488372093,0.8604651162790697,129
0819_1400_539136F,0.6434108527131783,129,0.5193798449612403,0.6434108527131783,0.5193798449612403,2.1521306038748875,0.3643337679603615,-0.1895305097505724,0.07929672191475669,0.16857295638269013,0.3488372093023256,0.41860465116279066,129
0819_1400_9M4VCHG,0.49473684210526314,95,0.42105263157894735,0.7052631578947368,0.42105263157894735,2.8036911073695303,0.3343635942051117,0.31983201795704774,0.1453608980736937,0.3697378084974199,0.26578282828282834,0.2424242424242425,95
0823_1400_539136F,0.6641221374045801,131,0.4198473282442748,0.5954198473282443,0.4198473282442748,2.3629633206087663,0.26762834352904485,0.14064471099089015,0.050458552801076126,0.20016891151299052,0.38900634249471455,0.4471458773784355,131
0823_1400_9M4VCHG,1.0,131,1.0,0.9923664122137404,1.0,1.5276892297698597,0.29367294849046127,,0.04368520283305189,0.04368520283305189,1.0,0.0,131
0823_1400_U9TEJGM,0.6147540983606558,122,0.5655737704918032,0.5901639344262295,0.5655737704918032,1.5910465204887871,0.270001809336104,-0.1067351616323371,0.10103035494712233,0.24913479874845385,0.13293460925039868,0.003947368421052699,122
0824_1000_539136F,0.6666666666666666,129,0.7209302325581395,0.751937984496124,0.7209302325581395,2.4332086279042526,0.2574978567115584,-0.26313838422361835,0.05167880072889901,0.17555092007257905,0.5503875968992248,0.5116279069767442,129
0824_1000_9M4VCHG,0.6132075471698113,106,0.46226415094339623,0.6415094339622641,0.46226415094339623,3.2523955330120855,0.2130519765072494,0.35917165934013484,0.08152305757734644,0.21886198626678985,0.32730713907184494,0.4504201680672269,106
0824_1000_U9TEJGM,0.5575221238938053,113,0.5663716814159292,0.6194690265486725,0.5663716814159292,3.2042585123892855,0.25976741255116437,-0.32741009133578514,0.09022119535654144,0.2028345107258532,0.5941204362256994,0.7069701280227596,113
0824_1600_539136F,0.5454545454545454,121,0.5206611570247934,0.5041322314049587,0.5206611570247934,2.8290603942158903,0.2632181911750323,0.482729548494218,0.11261080795822336,0.2571685729849771,0.5185847743987279,0.6624925462134764,121
0824_1600_9M4VCHG,0.6875,128,0.4609375,0.6015625,0.4609375,3.119939681250017,0.19719829353161286,-0.22545746421029156,0.08700036766795816,0.2438789912074474,0.19025765310507228,0.23993193420306297,128
0826_1000_539136F,0.9772727272727273,132,0.9848484848484849,0.9848484848484849,0.9848484848484849,1.7935385068227665,0.25510497978196345,-0.5238152884403602,0.04377605957553844,0.06782619881307968,0.9696969696969697,0.045454545454545414,132
0826_1000_9M4VCHG,0.512396694214876,121,0.49586776859504134,0.6115702479338843,0.49586776859504134,2.36914594793545,0.302874717984601,0.5537459314764459,0.09783053612035983,0.23638257499884677,0.04108669108669113,0.04880952380952386,121
0826_1300_539136F,0.6212121212121212,132,0.6136363636363636,0.48484848484848486,0.6136363636363636,1.4836128568100375,0.32914473825266094,-0.34584235503678484,0.06514810690218432,0.18360541534487435,0.2272727272727272,0.13636363636363635,132
0826_1300_9M4VCHG,0.672566371681416,113,0.46017699115044247,0.6371681415929203,0.46017699115044247,2.831394693804946,0.3193918593505781,0.4324429817803268,0.06134278663099613,0.19686981943453388,0.5463155463155464,0.7297297297297298,113
0826_1300_U9TEJGM,0.7123287671232876,73,0.5342465753424658,0.547945205479452,0.5342465753424658,3.105987736987977,0.26105538668675765,-0.42398157450970153,0.133011541869255,0.24355856843007553,0.3797313797313797,0.07692307692307687,73
0827_1000_539136F,0.5555555555555556,117,0.8290598290598291,0.6752136752136753,0.8290598290598291,2.4276387008587617,0.3520965289106528,0.12476991073692867,0.0882472029245729,0.24526444597463812,0.659289248762933,0.0479082321187585,117
0827_1000_9M4VCHG,0.813953488372093,129,0.5736434108527132,0.7054263565891473,0.5736434108527132,1.9734071263560191,0.2513913972521722,0.07239252584737565,0.056059414654833335,0.16821991023605895,0.6739991274874996,0.8365800865800865,129
0827_1000_U9TEJGM,0.6229508196721312,122,0.819672131147541,0.7131147540983607,0.819672131147541,3.4508095385244815,0.18605274665594454,-0.4640582737242753,0.06450373259103423,0.17785822612620905,0.6373983739837398,0.20243902439024397,122
0828_1300_9M4VCHG,0.7079646017699115,113,0.2743362831858407,0.7433628318584071,0.2743362831858407,2.119702089379595,0.23745007760141523,0.6680680481038923,0.08031213909527302,0.20959332424396512,0.45139876718824085,0.007112375533428195,113
0828_1300_U9TEJGM,0.6714285714285714,70,0.8142857142857143,0.7428571428571429,0.8142857142857143,3.5103716542869474,0.24659809021661114,-0.755047895550252,0.06281532900192074,0.14303172562114144,0.5969785575048733,0.2573099415204678,70
0830_1300_539136F,0.6666666666666666,120,0.7416666666666667,0.6666666666666666,0.7416666666666667,2.850949734166625,0.258379799614929,-0.301084942696471,0.04869956463129468,0.19523561862199093,0.48178027934125495,0.3602564102564102,120
0830_1300_9M4VCHG,0.8110236220472441,127,0.6771653543307087,0.8740157480314961,0.6771653543307087,2.0844328118108697,0.3005692016622778,-0.26337414214741695,0.056889554954596834,0.18847755487877066,0.9198606271777003,0.9285714285714286,127
0830_1300_U9TEJGM,0.689922480620155,129,0.5736434108527132,0.7286821705426356,0.5736434108527132,2.502946737209288,0.30971058713981753,-0.3018939727516847,0.1555291993610791,0.24685031399489824,0.4883720930232558,0.6744186046511628,129
0831_1300_539136F,0.813953488372093,129,0.8217054263565892,0.8449612403100775,0.8217054263565892,2.0615481426348268,0.260660232215245,-0.2527220755545132,0.04751334065404645,0.1718604889732133,0.638544917614685,0.31385281385281383,129
0831_1300_9M4VCHG,0.7627118644067796,118,0.6949152542372882,0.8728813559322034,0.6949152542372882,1.877666348306328,0.2959021589864317,-0.24010138584010288,0.08744332826282138,0.23244265655140267,0.8956365272154745,0.8434547908232118,118
0831_1300_U9TEJGM,0.6589147286821705,129,0.5271317829457365,0.7674418604651163,0.5271317829457365,2.302709020930974,0.29803651301777784,-0.07479478228232361,0.08055209988384025,0.25009553514831034,0.5804557199906037,0.7040169133192389,129
0901_1000_539136F,0.5537190082644629,121,0.628099173553719,0.6198347107438017,0.628099173553719,2.4832237066103584,0.30332693629755486,-0.12721721006177633,0.0871176693763336,0.26734589804427883,0.2552845528455285,0.19999999999999996,121
0901_1000_9M4VCHG,0.4297520661157025,121,0.6033057851239669,0.5867768595041323,0.6033057851239669,2.1385200033050937,0.25614867872286984,0.18793175288462205,0.06231137030178308,0.1731301786792624,0.21037851037851044,0.1679487179487179,121
0901_1000_U9TEJGM,0.8939393939393939,132,0.9090909090909091,0.9090909090909091,0.9090909090909091,1.8013759553022366,0.23579991095190414,-0.6844321400060533,0.05440038011393253,0.12680115703676237,0.8181818181818182,0.15909090909090906,132
0901_1300_539136F,0.8362068965517241,116,0.8275862068965517,0.8448275862068966,0.8275862068965517,2.1082269198264716,0.28636713873156233,-0.23355344562199543,0.05310698047972187,0.15383344933704285,0.6432663432663432,0.4094594594594594,116
0901_1300_9M4VCHG,0.3790322580645161,124,0.3790322580645161,0.47580645161290325,0.3790322580645161,1.8524116483946977,0.23742438771453425,-0.2830099617434396,0.1376991497583319,0.2722710683530676,0.9186991869918698,0.9512195121951219,124
0901_1300_U9TEJGM,0.6484375,128,0.4609375,0.625,0.4609375,2.403191625782256,0.2997269158782993,-0.0610175566451443,0.10815830731363016,0.21504633210261317,0.25101513473606496,0.18604651162790697,128
0915_1000_539136F,0.5258620689655172,116,0.46551724137931033,0.49137931034482757,0.46551724137931033,2.6502552681044547,0.35917651926201366,0.03960330509166177,0.07457507341513171,0.19684564823414044,0.18955878955878955,0.18974358974358974,116
0915_1000_9M4VCHG,0.9770992366412213,131,0.9618320610687023,0.9694656488549618,0.9618320610687023,1.8254506999999385,0.3757590187955042,-1.0022732231749991,0.08313213265431656,0.11290036809825788,0.9242424242424242,0.11363636363636365,131
0915_1000_U9TEJGM,0.6883116883116883,77,0.38961038961038963,0.6883116883116883,0.38961038961038963,2.9410932415509716,0.26923015894198377,0.05454026609477536,0.1339647608747119,0.24957166921646323,0.5363155363155363,0.6616161616161615,77
0917_1030_539136F,0.5692307692307692,130,0.6384615384615384,0.5307692307692308,0.6384615384615384,1.4965582153846648,0.3940801765890772,0.1767772132785117,0.07698966391136927,0.2078564010143915,0.27777777777777773,0.015151515151515138,130
0917_1030_9M4VCHG,1.0,129,1.0,1.0,1.0,1.4213000844959658,0.22916360103207664,,0.04402254531628119,0.04402254531628119,1.0,0.0,129
0917_1030_U9TEJGM,0.5891472868217055,129,0.6201550387596899,0.6434108527131783,0.6201550387596899,2.5686574658913965,0.25600179677267565,0.018906185000040487,0.11086788210660475,0.24817648915125273,0.45431054733380316,0.5303030303030303,129
