trait,r,p,n
rt_mean,-0.4439735654236828,2.9534202333987352e-06,102
rt_std,-0.39230372425484106,4.543044766124263e-05,102
gaze_variability,0.3675341714782214,0.00014465891832880532,102
choice_consistency,0.3581931746924385,0.00021865582399335068,102
recent_invest_rate_std,-0.27476866982411097,0.005192649923131654,102
rt_choice_diff,-0.18082322432899264,0.07478022112970578,98
invest_variance_mean,0.15630753305951028,0.11668701989183775,102
subject_invest_rate,0.15349295082418118,0.12350189491884689,102
ev_diff_mean,-0.15309546511147543,0.1244884825801981,102
risk_premium_mean,-0.1357446298063732,0.17371508611739658,102
social_prop,0.1318869862367582,0.1863823233915241,102
ev_diff_std,0.13080233516851333,0.19006212726367586,102
ambiguity_sensitivity,0.0839851733803566,0.4013352317831686,102
running_invest_rate_std,-0.08066595448388367,0.42026583273588203,102
rt_cv,0.0588272128747286,0.556993935648716,102
pupil_variability,-0.05438987535597459,0.5871690811974929,102
risk_premium_std,-0.010773344041782151,0.9144180527140567,102
