feature,beta_main,beta_int,se_int,p_int,lrt_stat,lrt_p,sig_int,modality
screen_y_mean,0.0011336042397831342,-0.06186793509745589,0.024073198383257218,0.010170076793910743,6.641748528005337,0.009961611558771852,True,Gaze
screen_x_mean,-0.008901643460553504,0.052908809541508325,0.0247604004891376,0.03261167993923981,4.573270751830933,0.032474506534995805,True,Gaze
gaze_velocity_mean,0.02090211537546231,-0.061815113382101536,0.030388243653362127,0.041933596523378545,4.5201893587218365,0.0334971237735093,True,Gaze
screen_x_std,-0.12905264243606757,-0.046337228668009454,0.02406435174193404,0.05415998373899154,3.825861274912313,0.050467404331453115,False,Gaze
gaze_acceleration_mean,0.024634653773819768,-0.05605977180085214,0.02942607218959507,0.056766359375353126,3.9931147113420593,0.04568653614275084,False,Gaze
gaze_acceleration_std,0.010377601616495213,-0.03613314836300078,0.024689113505654652,0.1433236282636984,2.1774079179085675,0.14005016215458047,False,Gaze
screen_y_std,0.02852618796264181,-0.03316813677072385,0.024872401665485464,0.18235737063377777,1.821099146925917,0.17718249797804517,False,Gaze
gaze_velocity_std,0.013111805907601842,-0.03261428176288853,0.024658111186354883,0.18594868150319988,1.7744204599803197,0.18283595710325884,False,Gaze
gaze_x_std,-0.7332326921168605,-0.03421287833998848,0.026626753864725128,0.1988251006949734,1.6433303235899075,0.19986914622767163,False,Gaze
gaze_y_std,0.050524567638488234,0.023785051646376662,0.023684857438736728,0.31526761735220754,1.0082447596378188,0.31532370776754404,False,Gaze
gaze_dispersion_x,-0.017287800050091597,-0.020601222681684298,0.022863313486451424,0.36755629275397017,0.8183861409670499,0.3656524431697099,False,Gaze
gaze_path_length,0.018395125975702767,-0.017393544472437013,0.022474257857821787,0.43897108009169317,0.6145693924863735,0.43307252212716496,False,Gaze
gaze_dispersion_y,0.023376950935340608,-0.015147807800873755,0.022906874832542806,0.5084341755155574,0.44085328573964944,0.5067108979731938,False,Gaze
gaze_x_mean,-0.004123362505191572,-0.015163506119127484,0.02355416600919592,0.5197234704255331,0.4130305671951646,0.5204353032655098,False,Gaze
