modality,bin_idx,time_label,mean_abs_d,max_abs_d,n_significant
pupil,0,-2.0s to -1.5s,0.05579987977804199,0.14355223964063835,3
pupil,1,-1.5s to -1.0s,0.10282597030327262,0.12008763819742496,8
pupil,2,-1.0s to -0.5s,0.06326876614767435,0.08837663357405429,6
pupil,3,-0.5s to 0.0s,0.06418554304659443,0.10849204642189957,5
gaze,0,-2.0s to -1.5s,0.22572854841230566,0.3505402784210368,0
gaze,1,-1.5s to -1.0s,0.18773848378096797,0.31674012116855776,0
gaze,2,-1.0s to -0.5s,0.14731907636589833,0.1994894335071431,0
gaze,3,-0.5s to 0.0s,0.1911407193222469,0.2638755097819546,0
eeg,0,-2.0s to -1.5s,0.03855711261867455,0.0807900150970951,10
eeg,1,-1.5s to -1.0s,0.14424544099711584,0.20797406772491164,20
eeg,2,-1.0s to -0.5s,0.08231649376722842,0.15394869825343846,15
eeg,3,-0.5s to 0.0s,0.06443529127439515,0.1101988174074455,17
