modality,feature,optimal_bin,optimal_bin_idx,max_d,abs_max_d
gaze,gaze_velocity_mean,-2.0s to -1.5s,0,-0.3505402784210368,0.3505402784210368
gaze,gaze_path_length,-2.0s to -1.5s,0,-0.3504916384039282,0.3504916384039282
gaze,gaze_dispersion,-2.0s to -1.5s,0,-0.3380229678943773,0.3380229678943773
gaze,gaze_velocity_std,-2.0s to -1.5s,0,-0.32269384930600065,0.32269384930600065
gaze,gaze_x_std,-1.5s to -1.0s,1,0.31674012116855776,0.31674012116855776
gaze,gaze_y_std,-0.5s to 0.0s,3,-0.2638755097819546,0.2638755097819546
eeg,eeg_P4,-1.5s to -1.0s,1,-0.20797406772491164,0.20797406772491164
eeg,eeg_O1,-1.5s to -1.0s,1,-0.20650160677641408,0.20650160677641408
eeg,eeg_P3,-1.5s to -1.0s,1,-0.19961268481246314,0.19961268481246314
gaze,gaze_x_mean,-1.5s to -1.0s,1,-0.1959549199444104,0.1959549199444104
eeg,eeg_POz,-1.5s to -1.0s,1,-0.18951913145182359,0.18951913145182359
gaze,gaze_y_mean,-1.5s to -1.0s,1,-0.1836550760862165,0.1836550760862165
eeg,eeg_O2,-1.5s to -1.0s,1,-0.179655573034172,0.179655573034172
eeg,eeg_T5,-1.5s to -1.0s,1,-0.17321903004064973,0.17321903004064973
eeg,eeg_Fp1,-1.5s to -1.0s,1,-0.1630025816221174,0.1630025816221174
eeg,eeg_Pz,-1.5s to -1.0s,1,-0.16190624428436615,0.16190624428436615
eeg,eeg_T6,-1.5s to -1.0s,1,-0.15866438836737035,0.15866438836737035
eeg,eeg_F8,-1.5s to -1.0s,1,-0.15361811773105882,0.15361811773105882
eeg,eeg_Cz,-1.5s to -1.0s,1,-0.14743873321547654,0.14743873321547654
pupil,pupil_mean,-2.0s to -1.5s,0,0.14355223964063835,0.14355223964063835
pupil,pupil_min,-2.0s to -1.5s,0,0.13169481022703872,0.13169481022703872
eeg,eeg_Fp2,-1.5s to -1.0s,1,-0.12629074450260053,0.12629074450260053
pupil,pupil_max,-2.0s to -1.5s,0,0.12589006131798028,0.12589006131798028
eeg,eeg_F3,-1.0s to -0.5s,2,-0.12309720691437148,0.12309720691437148
eeg,eeg_F4,-1.5s to -1.0s,1,-0.12299022453619707,0.12299022453619707
pupil,pct_time_dilating,-1.5s to -1.0s,1,-0.12008763819742496,0.12008763819742496
pupil,pupil_slope,-1.5s to -1.0s,1,-0.11806053360964423,0.11806053360964423
pupil,pupil_max_constriction_rate,-1.5s to -1.0s,1,0.11380077574151212,0.11380077574151212
eeg,eeg_F7,-1.5s to -1.0s,1,-0.11253689222322233,0.11253689222322233
eeg,eeg_T3,-1.5s to -1.0s,1,-0.11177854030773562,0.11177854030773562
eeg,eeg_T4,-0.5s to 0.0s,3,-0.1101988174074455,0.1101988174074455
eeg,eeg_C4,-1.5s to -1.0s,1,-0.10855543971406956,0.10855543971406956
pupil,pupil_std,-1.5s to -1.0s,1,0.09947707766021718,0.09947707766021718
eeg,eeg_C3,-1.0s to -0.5s,2,-0.09804354725453499,0.09804354725453499
pupil,pupil_velocity_mean,-1.5s to -1.0s,1,0.09359578653907479,0.09359578653907479
eeg,eeg_Fz,-1.5s to -1.0s,1,-0.0765906561010286,0.0765906561010286
