bin_idx,time_label,accuracy,accuracy_sem,physio_weight,behavior_weight,gaze_weight,n_features,modality,phase
0,-2.0s to -1.5s,0.7414673966402383,0.013146923209262177,0.01083080469648164,0.6860464775804722,0.30312271772304605,8,Pupil (PRE),PRE
1,-1.5s to -1.0s,0.7405885675804303,0.01315080399681985,0.004502457702963999,0.6839301718458943,0.3115673704511417,8,Pupil (PRE),PRE
2,-1.0s to -0.5s,0.7418142213536006,0.01311630912595028,0.0063411099737081585,0.6818884020739862,0.3117704879523058,8,Pupil (PRE),PRE
3,-0.5s to 0.0s,0.7406406086011771,0.013084306913174155,0.00725367756139413,0.6833869662605191,0.30935935617808674,8,Pupil (PRE),PRE
0,-2.0s to -1.5s,0.7473022773878986,0.014820492822155692,0.0010012230621887384,0.6806267744525166,0.3183720024852946,20,EEG (PRE),PRE
1,-1.5s to -1.0s,0.7467958954093461,0.014780103047872008,0.0017321702151957294,0.6834213195888863,0.31484651019591786,20,EEG (PRE),PRE
2,-1.0s to -0.5s,0.7471311603814177,0.014776101018560235,0.007311124060113403,0.6839626824737389,0.30872619346614766,20,EEG (PRE),PRE
3,-0.5s to 0.0s,0.7448358746361577,0.014905441316700475,0.008257881010930555,0.6805518345859809,0.31119028440308844,20,EEG (PRE),PRE
0,+0.0s to +0.5s,0.7454836924301369,0.014760896364346143,0.007136567310959206,0.6765373812126182,0.3163260514764226,20,EEG (POST),POST
1,+0.5s to +1.0s,0.7473530320821842,0.014496364288344566,0.02670548065171765,0.6584350463476005,0.3148594730006818,20,EEG (POST),POST
2,+1.0s to +1.5s,0.7527122913045511,0.014943807560281977,0.15724502383057487,0.5650512046662396,0.2777037715031854,20,EEG (POST),POST
3,+1.5s to +2.0s,0.7454873111885105,0.01483370372626256,0.010912959248244545,0.6781353157209329,0.3109517250308225,20,EEG (POST),POST
