Feature,Coefficient,Type
consecutive_same,0.920626532955107,Sequential
fixation_ratio,0.7198787120259504,Gaze
gaze_velocity_mean,0.5685976325281299,Gaze
running_invest_rate,0.5340510604575024,Sequential
gaze_acceleration_std,0.5023948219855996,Gaze
screen_y_std,0.49451276520588,Gaze
gaze_velocity_max,0.44509032595972603,Gaze
screen_x_std,0.403772496954525,Gaze
risk_premium,0.36644611480276623,Behavior
pupil_std_pre,0.2865102023754048,Physiology
gaze_path_length,0.280058630953607,Gaze
ev_difference,0.2684170326487958,Behavior
gaze_y_std,0.22446717675287037,Gaze
gaze_acceleration_mean,0.21776611565505188,Gaze
gaze_dispersion_y,0.1919143878381444,Gaze
decision_time,0.18805164218560794,Behavior
gaze_velocity_std,0.1769331666085068,Gaze
saccade_count,0.17097515261829632,Gaze
saccade_ratio,0.15557543675195967,Gaze
invest_variance,0.1385337174125448,Behavior
pupil_slope_pre,0.13712956855169778,Physiology
reaction_time,0.12139463072812307,Behavior
time_to_peak_pre,0.12104306188660693,Physiology
prev_outcome,0.1139818835424589,Sequential
pct_time_dilating_pre,0.1089931883540492,Physiology
screen_x_mean,0.10752111201429142,Gaze
gaze_x_mean,0.09796463567522956,Gaze
gaze_x_std,0.0836564561017144,Gaze
trial_position,0.07193155971992758,Sequential
gaze_dispersion_x,0.06447344170980297,Gaze
eye_asymmetry_std_pre,0.05612543164153779,Physiology
gaze_y_mean,0.05580361276372734,Gaze
pupil_max_constriction_rate_pre,0.05256009769194138,Physiology
pupil_velocity_mean_pre,0.050249423918234726,Physiology
condition_social,0.04352091052068956,Behavior
pupil_max_dilation_rate_pre,0.03604815297626318,Physiology
screen_y_mean,0.02364374029059091,Gaze
eye_asymmetry_pre,0.01907258335001131,Physiology
num_dilation_peaks_pre,0.01819479316855998,Physiology
recent_invest_rate_5,0.014298110828322927,Sequential
pupil_mean_pre,0.011014934906274526,Physiology
pupil_acceleration_std_pre,0.008139133342690256,Physiology
pupil_cv_pre,0.0010162519862864901,Physiology
prev_outcome_2,0.00017174460528058885,Sequential
gaze_valid_pct,0.0,Gaze
ambiguity,0.0,Behavior
